x y z
5.66131 -3.26856 0.194017
5.67052 -3.27388 0.171459
5.6104 -3.23917 0.147014
5.67142 -3.2744 0.125743
5.57652 -3.2196 0.101156
5.43823 -3.13977 0.0767224
5.42977 -3.13488 0.0547155
5.4299 -3.13496 0.0328295
5.19614 -3 0.0104718
5.1182 -2.955 -0.0103145
5.1701 -2.98496 -0.0312592
5.08338 -2.93489 -0.0512247
5.05721 -2.91978 -0.0713467
4.9444 -2.85465 -0.0896891
4.96141 -2.86447 -0.110001
4.96105 -2.86426 -0.129999
4.80479 -2.77405 -0.145282
4.78701 -2.76378 -0.164054
4.69993 -2.71351 -0.180033
5.93231 -3.39884 0.202917
5.90687 -3.38426 0.178265
5.80328 -3.32491 0.151778
5.61285 -3.21581 0.124207
5.48305 -3.14144 0.0992708
5.48332 -3.1416 0.077211
5.43146 -3.11189 0.0546283
5.43159 -3.11196 0.0327771
5.50975 -3.15674 0.0110826
5.24077 -3.00263 -0.0105414
5.12791 -2.93797 -0.030945
5.02367 -2.87825 -0.0505266
4.9454 -2.8334 -0.0696364
5.01456 -2.87303 -0.0907886
4.88413 -2.7983 -0.108081
4.88377 -2.7981 -0.12773
4.91805 -2.81773 -0.148423
4.83952 -2.77274 -0.165537
4.63953 -2.65816 -0.177381
5.87403 -3.33963 0.200544
5.79639 -3.29549 0.174601
5.61438 -3.192 0.14656
5.48441 -3.11811 0.121136
5.50213 -3.12819 0.0994278
5.48502 -3.11846 0.0770889
5.38959 -3.0642 0.0541047
5.38973 -3.06428 0.032463
5.32025 -3.02478 0.0106812
5.28547 -3.00501 -0.0106112
5.14632 -2.92589 -0.0309974
5.06796 -2.88134 -0.0508757
5.04169 -2.86641 -0.070858
4.86761 -2.76743 -0.0879613
4.80647 -2.73267 -0.106162
4.80612 -2.73247 -0.125462
4.84916 -2.75694 -0.146067
4.77048 -2.71221 -0.162867
4.67438 -2.65758 -0.178375
5.8845 -3.32116 0.200544
5.80672 -3.27726 0.174601
5.62438 -3.17435 0.14656
5.49418 -3.10087 0.121136
5.51193 -3.11089 0.0994278
5.49478 -3.10121 0.0770889
5.39919 -3.04726 0.0541047
5.39933 -3.04733 0.032463
5.32972 -3.00805 0.0106812
5.29489 -2.98839 -0.0106112
5.15549 -2.90971 -0.0309974
