x y z
1.77438 -1.02444 0.0679681
1.67069 -0.964575 0.0572558
1.77474 -1.02465 0.0536628
1.71429 -0.989745 0.044921
1.79234 -1.03481 0.0397387
1.61927 -0.934885 0.0293728
1.70594 -0.984927 0.0240674
1.69735 -0.979963 0.0171041
1.69739 -0.979987 0.0102625
1.72339 -0.994998 0.00347314
1.73205 -0.999998 -0.00349053
1.60213 -0.924987 -0.00968669
1.68003 -0.969963 -0.0169295
1.64533 -0.949929 -0.0232121
1.56731 -0.904888 -0.0284303
1.6538 -0.954824 -0.036667
1.65368 -0.954754 -0.043333
1.63623 -0.944676 -0.0494745
1.58413 -0.914597 -0.0542891
1.61858 -0.934486 -0.0620003
1.74308 -0.998673 0.0666419
1.6999 -0.973937 0.0581458
1.70007 -0.974032 0.0513069
1.70021 -0.974115 0.0444672
1.76106 -1.00898 0.0389708
1.70912 -0.979216 0.0309436
1.7439 -0.999147 0.024556
1.69191 -0.969358 0.0170168
1.69195 -0.969381 0.0102101
1.66594 -0.954479 0.00335097
1.66594 -0.954479 -0.00335091
1.70063 -0.974352 -0.0102627
1.61382 -0.924618 -0.0162313
1.64847 -0.944468 -0.0232121
1.62236 -0.92951 -0.0293728
1.64829 -0.944364 -0.0364751
1.64817 -0.944295 -0.0431061
1.63935 -0.939245 -0.0494745
1.55246 -0.889463 -0.0531024
1.56963 -0.899302 -0.060011
1.71162 -0.973128 0.0653157
1.71181 -0.973235 0.0584424
1.68591 -0.958507 0.0507834
1.68605 -0.958589 0.0440135
1.66879 -0.948776 0.0368591
1.69497 -0.96366 0.0306294
1.68636 -0.958764 0.0237009
1.70381 -0.968684 0.0171041
1.70385 -0.968708 0.0102625
1.72995 -0.983547 0.00347314
1.70387 -0.968719 -0.00342072
1.66038 -0.943996 -0.0100009
1.61688 -0.919261 -0.0162313
1.6342 -0.929112 -0.0229678
1.63412 -0.929067 -0.0295299
1.6601 -0.943835 -0.036667
1.65998 -0.943766 -0.043333
1.65984 -0.943685 -0.049998
1.59885 -0.909011 -0.0545857
1.57261 -0.894092 -0.060011
1.71467 -0.967746 0.0653157
1.71486 -0.967852 0.0584424
1.68891 -0.953206 0.0507834
1.68905 -0.953288 0.0440135
1.67176 -0.943529 0.0368591
1.69799 -0.95833 0.0306294
1.68936 -0.953462 0.0237009
1.70684 -0.963327 0.0171041
1.70688 -0.96335 0.0102625
1.73303 -0.978107 0.00347314
1.7069 -0.963362 -0.00342072
1.66334 -0.938775 -0.0100009
1.61976 -0.914177 -0.0162313
1.63712 -0.923973 -0.0229678
1.63704 -0.923928 -0.0295299
1.66306 -0.938615 -0.036667
1.66294 -0.938546 -0.043333
1.66279 -0.938466 -0.049998
1.6017 -0.903984 -0.0545857
1.57541 -0.889147 -0.060011
1.75275 -0.981589 0.0666419
1.64829 -0.923088 0.0560691
1.6659 -0.932947 0.0499981
1.71837 -0.962336 0.0446941
1.68361 -0.942865 0.037051
1.65754 -0.928266 0.0298441
1.65762 -0.928311 0.0232122
1.6664 -0.933231 0.0166677
1.66644 -0.933254 0.0100007
1.69264 -0.947924 0.00338588
1.67519 -0.938151 -0.00335091
1.66644 -0.933254 -0.0100009
1.72748 -0.967433 -0.0172785
1.62272 -0.908768 -0.0227234
1.63137 -0.913609 -0.0293728
1.6051 -0.898897 -0.0353232
1.60498 -0.898832 -0.0417449
1.67462 -0.937831 -0.0502598
1.51747 -0.849827 -0.0516191
1.63067 -0.913219 -0.0620003
1.6599 -0.922371 0.0629948
1.67756 -0.932182 0.0569591
1.70393 -0.94684 0.0510451
1.64291 -0.912928 0.0426522
1.68672 -0.937277 0.037051
1.71305 -0.951904 0.0307865
1.69565 -0.942237 0.0237009
1.69571 -0.942271 0.0169295
1.65205 -0.918008 0.00989597
1.74822 -0.971449 0.0034906
1.62584 -0.903448 -0.0032462
1.70449 -0.947151 -0.0102103
1.66949 -0.9277 -0.0166677
1.65195 -0.917952 -0.0230899
1.66061 -0.922764 -0.029844
1.59059 -0.883857 -0.0349393
1.59047 -0.883792 -0.0412911
1.59034 -0.883717 -0.0476421
1.59892 -0.888486 -0.0542891
1.57254 -0.873825 -0.0596794
1.66295 -0.916861 0.0629948
1.68064 -0.926614 0.0569591
1.70706 -0.941184 0.0510451
1.64593 -0.907475 0.0426522
1.68982 -0.931678 0.037051
1.71619 -0.946218 0.0307865
1.69877 -0.936609 0.0237009
1.69883 -0.936643 0.0169295
1.65508 -0.912525 0.00989597
1.75143 -0.965646 0.0034906
1.62883 -0.898051 -0.0032462
1.70763 -0.941494 -0.0102103
1.67256 -0.922159 -0.0166677
1.65498 -0.912469 -0.0230899
1.66366 -0.917252 -0.029844
1.59351 -0.878578 -0.0349393
1.5934 -0.878513 -0.0412911
1.59326 -0.878438 -0.0476421
1.60186 -0.883179 -0.0542891
1.57542 -0.868605 -0.0596794
1.61322 -0.882844 0.0610055
1.65723 -0.906934 0.0560691
1.66617 -0.911821 0.0497363
1.7277 -0.945495 0.0446941
1.75414 -0.959964 0.0383949
1.69284 -0.926422 0.0303153
1.67538 -0.916866 0.0233343
1.67545 -0.9169 0.0166677
1.6404 -0.897719 0.00979125
1.74568 -0.955339 0.00347314
1.58778 -0.868926 -0.00315893
1.67549 -0.916922 -0.0100009
1.6579 -0.907299 -0.0164931
1.65784 -0.907265 -0.0230899
1.57882 -0.86402 -0.0282733
1.63135 -0.892766 -0.0357072
1.63123 -0.892701 -0.0421986
1.62232 -0.887826 -0.0484274
1.61339 -0.882941 -0.0545857
1.60445 -0.878046 -0.0606741
1.69518 -0.92041 0.0639895
1.71294 -0.93005 0.0578491
1.72189 -0.934911 0.0513069
1.7484 -0.949302 0.0451478
1.62551 -0.882581 0.0355152
1.66955 -0.90649 0.0298441
1.66963 -0.906534 0.0232122
1.66969 -0.906567 0.0165805
1.75761 -0.954305 0.0104719
1.69611 -0.920915 0.00336843
1.68733 -0.916143 -0.00335091
1.62579 -0.882732 -0.00968669
1.66969 -0.906567 -0.0165804
1.67842 -0.911305 -0.0233343
1.65197 -0.896948 -0.0295299
1.65187 -0.896893 -0.0360911
1.65175 -0.896828 -0.0426524
1.64282 -0.891981 -0.0489509
1.65145 -0.896664 -0.0557724
1.58978 -0.863183 -0.060011
1.69823 -0.914784 0.0639895
1.71601 -0.924365 0.0578491
1.72498 -0.929196 0.0513069
1.75153 -0.943498 0.0451478
1.62843 -0.877186 0.0355152
1.67254 -0.900948 0.0298441
1.67262 -0.900992 0.0232122
1.67269 -0.901025 0.0165805
1.76077 -0.948471 0.0104719
1.69916 -0.915285 0.00336843
1.69035 -0.910543 -0.00335091
1.62871 -0.877335 -0.00968669
1.67269 -0.901025 -0.0165804
1.68143 -0.905734 -0.0233343
1.65494 -0.891465 -0.0295299
1.65484 -0.89141 -0.0360911
1.65472 -0.891345 -0.0426524
1.64577 -0.886528 -0.0489509
1.65441 -0.891182 -0.0557724
1.59264 -0.857906 -0.060011
1.69244 -0.904436 0.0636579
1.67499 -0.895113 0.0563658
1.67515 -0.895201 0.0497363
1.7282 -0.923549 0.0444672
1.72833 -0.923617 0.037627
1.71961 -0.91896 0.0306294
1.66678 -0.890728 0.02309
1.66685 -0.89076 0.0164932
1.71098 -0.914348 0.0101578
1.70218 -0.909646 0.00336843
1.64045 -0.876653 -0.0032462
