x y z
6.32717 -3.65299 0.242364
6.53561 -3.77334 0.22398
6.35445 -3.66874 0.192139
6.684 -3.85901 0.175146
6.14802 -3.54956 0.111523
6.1743 -3.56473 0.0871068
5.87143 -3.38987 0.0591661
5.87157 -3.38995 0.0354998
5.837 -3.36999 0.0117633
5.88896 -3.39999 -0.0118678
5.83693 -3.36995 -0.035291
5.75885 -3.32487 -0.0580314
5.62009 -3.24476 -0.0792877
5.72372 -3.30459 -0.103826
5.60215 -3.2344 -0.124207
5.60174 -3.23417 -0.146788
5.4108 -3.12393 -0.163606
5.43625 -3.13862 -0.186304
5.31447 -3.06831 -0.203573
6.67745 -3.82576 0.255295
6.86032 -3.93053 0.23466
6.14973 -3.52341 0.185595
6.3064 -3.61317 0.164937
6.27254 -3.59377 0.113564
6.18609 -3.54424 0.0871068
6.15161 -3.52448 0.0618713
6.15176 -3.52457 0.037123
6.10845 -3.49976 0.0122869
5.90888 -3.38542 -0.0118853
5.79601 -3.32075 -0.0349768
5.80455 -3.32564 -0.0583805
5.66552 -3.24599 -0.0797764
5.752 -3.29553 -0.10414
5.5955 -3.20587 -0.123823
5.59509 -3.20563 -0.146334
5.62063 -3.22027 -0.169627
5.34255 -3.06094 -0.182744
5.42868 -3.11029 -0.207552
6.52502 -3.70974 0.248995
6.50836 -3.70027 0.2222
6.3265 -3.59687 0.190569
6.38788 -3.63177 0.166752
6.15404 -3.49883 0.111208
6.12827 -3.48417 0.0861294
6.09372 -3.46453 0.0611732
6.09387 -3.46461 0.0367041
5.96354 -3.39052 0.0119727
5.7636 -3.27684 -0.0115711
5.85046 -3.32623 -0.0352386
5.71992 -3.25201 -0.0574206
5.70233 -3.24201 -0.0801429
5.44129 -3.09359 -0.0983281
5.5018 -3.128 -0.12152
5.50139 -3.12777 -0.143611
5.56176 -3.16209 -0.167533
5.34398 -3.03827 -0.182447
5.33471 -3.033 -0.203573
6.53664 -3.68922 0.248995
6.51995 -3.6798 0.2222
6.33777 -3.57698 0.190569
6.39925 -3.61168 0.166752
6.16501 -3.47947 0.111208
6.13918 -3.4649 0.0861294
6.10457 -3.44537 0.0611732
6.10472 -3.44545 0.0367041
5.97417 -3.37177 0.0119727
5.77386 -3.25872 -0.0115711
5.86088 -3.30783 -0.0352386
5.73011 -3.23402 -0.0574206
5.71249 -3.22408 -0.0801429
5.45098 -3.07648 -0.0983281
5.5116 -3.1107 -0.12152
5.51119 -3.11047 -0.143611
5.57166 -3.1446 -0.167533
5.3535 -3.02147 -0.182447
5.34421 -3.01622 -0.203573
6.60988 -3.70171 0.251316
6.47979 -3.62886 0.22042
6.43681 -3.60479 0.193186
6.39375 -3.58067 0.166298
6.28954 -3.52231 0.138413
6.19396 -3.46878 0.111523
6.11574 -3.42498 0.0856407
6.15959 -3.44953 0.0616095
6.15974 -3.44962 0.0369659
6.01149 -3.3666 0.0120251
5.95914 -3.33728 -0.0119202
5.81947 -3.25906 -0.0349244
5.98509 -3.35181 -0.059864
5.65335 -3.16603 -0.0791655
5.68797 -3.18542 -0.102412
5.51316 -3.08752 -0.121328
5.51276 -3.08729 -0.143385
5.69545 -3.1896 -0.170936
5.34605 -2.99393 -0.181854
5.38906 -3.01802 -0.204899
6.5435 -3.63608 0.248332
6.76265 -3.75786 0.229616
6.38757 -3.54943 0.191354
6.29198 -3.49632 0.163349
6.33614 -3.52086 0.139181
6.28409 -3.49193 0.112936
6.15329 -3.41925 0.0860072
6.15351 -3.41938 0.061435
6.15366 -3.41946 0.0368612
6.00514 -3.33693 0.0119902
5.86528 -3.25921 -0.0117107
5.89143 -3.27374 -0.035291
5.76018 -3.20081 -0.0575078
5.60264 -3.11327 -0.0783104
5.53244 -3.07426 -0.0994276
5.48841 -3.04979 -0.12056
5.48801 -3.04957 -0.142477
5.50502 -3.05902 -0.164915
5.43458 -3.01988 -0.184524
5.31168 -2.95159 -0.201584
6.55552 -3.61436 0.248332
6.77507 -3.73541 0.229616
6.3993 -3.52823 0.191354
6.30354 -3.47544 0.163349
6.34778 -3.49983 0.139181
6.29563 -3.47108 0.112936
6.16459 -3.39883 0.0860072
6.16482 -3.39895 0.061435
6.16497 -3.39903 0.0368612
6.01617 -3.317 0.0119902
5.87606 -3.23974 -0.0117107
5.90225 -3.25419 -0.035291
5.77076 -3.18169 -0.0575078
5.61293 -3.09467 -0.0783104
5.54261 -3.0559 -0.0994276
5.49849 -3.03158 -0.12056
5.49809 -3.03135 -0.142477
5.51513 -3.04075 -0.164915
5.44457 -3.00184 -0.184524
5.32143 -2.93396 -0.201584
6.71589 -3.67532 0.253969
6.60263 -3.61334 0.223386
6.44543 -3.52731 0.192401
6.43721 -3.52281 0.166525
6.22718 -3.40787 0.136302
6.25388 -3.42248 0.111994
6.08752 -3.33144 0.0847855
6.08774 -3.33156 0.0605623
6.02649 -3.29804 0.0359711
5.92129 -3.24047 0.0117808
5.89498 -3.22607 -0.0117282
5.88613 -3.22123 -0.0351339
5.83336 -3.19235 -0.0580314
5.74543 -3.14423 -0.0800207
5.59604 -3.06247 -0.100213
5.60447 -3.06708 -0.122671
5.60406 -3.06686 -0.144973
5.4545 -2.98501 -0.162821
5.38382 -2.94634 -0.18215
5.33063 -2.91722 -0.201584
6.49089 -3.52426 0.245017
6.46525 -3.51034 0.218343
6.54494 -3.55361 0.195019
6.32585 -3.43466 0.163349
6.15059 -3.3395 0.134382
6.24762 -3.39218 0.11168
5.97551 -3.24444 0.0830752
5.97573 -3.24456 0.0593406
6.03739 -3.27804 0.0359711
5.93201 -3.22082 0.0117808
5.87049 -3.18742 -0.0116584
5.86163 -3.18261 -0.0349244
5.73846 -3.11573 -0.0569842
5.7031 -3.09653 -0.0792877
5.61495 -3.04867 -0.10037
5.50038 -2.98646 -0.120176
5.49998 -2.98625 -0.142023
5.48194 -2.97645 -0.163344
5.35842 -2.90939 -0.180964
5.27 -2.86138 -0.198931
6.50254 -3.50272 0.245017
6.47685 -3.48888 0.218343
6.55669 -3.53189 0.195019
6.33721 -3.41366 0.163349
6.16163 -3.31908 0.134382
6.25883 -3.37144 0.11168
5.98624 -3.2246 0.0830752
5.98646 -3.22472 0.0593406
6.04823 -3.258 0.0359711
5.94265 -3.20113 0.0117808
5.88103 -3.16793 -0.0116584
5.87215 -3.16315 -0.0349244
5.74876 -3.09668 -0.0569842
5.71333 -3.0776 -0.0792877
5.62503 -3.03003 -0.10037
5.51025 -2.96821 -0.120176
5.50985 -2.96799 -0.142023
5.49178 -2.95826 -0.163344
5.36804 -2.8916 -0.180964
5.27946 -2.84389 -0.198931
6.69041 -3.57535 0.251648
6.69115 -3.57574 0.225166
6.3744 -3.40647 0.18926
6.52484 -3.48687 0.167886
6.44596 -3.44471 0.140333
6.3758 -3.40722 0.113564
6.23501 -3.33198 0.0863737
6.23524 -3.3321 0.0616968
6.0149 -3.21436 0.0357093
6.08553 -3.2521 0.0120426
6.00615 -3.20968 -0.0118853
5.86497 -3.13423 -0.0348197
5.9001 -3.15301 -0.0583805
5.73233 -3.06335 -0.0794099
5.63504 -3.01136 -0.10037
5.55534 -2.96877 -0.120944
5.55493 -2.96855 -0.142931
5.62499 -3.00599 -0.167009
5.39523 -2.88321 -0.181557
5.31531 -2.8405 -0.199926
6.58683 -3.49344 0.247338
6.43743 -3.4142 0.216267
6.54404 -3.47074 0.193972
6.2973 -3.33988 0.161761
6.31542 -3.34949 0.137262
6.19214 -3.28411 0.110109
6.23661 -3.30769 0.0862516
6.23684 -3.30781 0.0616095
6.09564 -3.23293 0.0361281
5.90136 -3.12989 0.0116586
5.91903 -3.13926 -0.0116933
5.76878 -3.05957 -0.0341914
5.80397 -3.07823 -0.0573333
5.60058 -2.97036 -0.0774552
5.60914 -2.9749 -0.0997418
5.62647 -2.98409 -0.122287
5.62606 -2.98387 -0.144519
5.42245 -2.87589 -0.160727
5.46608 -2.89903 -0.183634
5.24474 -2.78164 -0.196942
6.59838 -3.47157 0.247338
6.44872 -3.39284 0.216267
6.55551 -3.44902 0.193972
6.30834 -3.31898 0.161761
6.3265 -3.32853 0.137262
6.203 -3.26356 0.110109
6.24755 -3.28699 0.0862516
6.24777 -3.28711 0.0616095
6.10633 -3.2127 0.0361281
5.91171 -3.1103 0.0116586
5.92941 -3.11961 -0.0116933
5.77889 -3.04042 -0.0341914
5.81415 -3.05897 -0.0573333
5.6104 -2.95178 -0.0774552
5.61898 -2.95629 -0.0997418
5.63633 -2.96542 -0.122287
5.63592 -2.9652 -0.144519
5.43196 -2.85789 -0.160727
5.47566 -2.88089 -0.183634
5.25394 -2.76423 -0.196942
6.60099 -3.44505 0.247006
6.50424 -3.39456 0.21775
6.53146 -3.40876 0.192924
6.19523 -3.23328 0.158585
6.30204 -3.28903 0.136494
6.19606 -3.23371 0.109795
6.17863 -3.22462 0.085152
6.17886 -3.22474 0.0608241
5.90419 -3.08139 0.0348715
5.98405 -3.12307 0.0117808
5.8422 -3.04904 -0.0115013
5.8244 -3.03975 -0.0344008
5.71788 -2.98415 -0.0562861
5.72654 -2.98867 -0.0789212
5.52238 -2.88212 -0.0978569
5.53977 -2.8912 -0.119984
5.53937 -2.89099 -0.141796
5.45027 -2.84449 -0.160988
5.36113 -2.79797 -0.17948
5.20991 -2.71905 -0.194953
6.69226 -3.46449 0.24999
6.47108 -3.34999 0.216267
6.45396 -3.34113 0.190307
6.28582 -3.25409 0.160626
6.33067 -3.27731 0.136878
6.21563 -3.21775 0.109952
6.06497 -3.13975 0.0834417
6.06519 -3.13987 0.0596024
6.05646 -3.13535 0.0357093
6.0743 -3.14458 0.0119378
5.8878 -3.04804 -0.0115711
5.90549 -3.05719 -0.0348197
5.70998 -2.95598 -0.0561116
5.60322 -2.90071 -0.0770887
5.58518 -2.89138 -0.0987993
5.45166 -2.82225 -0.117872
5.45126 -2.82205 -0.139301
5.45967 -2.8264 -0.160988
5.37925 -2.78477 -0.179777
5.2544 -2.72013 -0.196279
6.70311 -3.44345 0.24999
6.48157 -3.32965 0.216267
6.46442 -3.32084 0.190307
6.29601 -3.23432 0.160626
6.34094 -3.2574 0.136878
6.2257 -3.1982 0.109952
6.07481 -3.12069 0.0834417
6.07503 -3.1208 0.0596024
6.06628 -3.11631 0.0357093
6.08414 -3.12548 0.0119378
5.89735 -3.02953 -0.0115711
5.91507 -3.03863 -0.0348197
5.71924 -2.93803 -0.0561116
5.6123 -2.88309 -0.0770887
5.59424 -2.87381 -0.0987993
5.4605 -2.80511 -0.117872
5.4601 -2.80491 -0.139301
5.46853 -2.80923 -0.160988
5.38797 -2.76785 -0.179777
5.26292 -2.70361 -0.196279
6.75012 -3.43936 0.251316
6.63508 -3.38074 0.221013
6.68026 -3.40376 0.196327
6.52049 -3.32236 0.166071
6.28935 -3.20458 0.135534
6.24519 -3.18208 0.110109
5.90693 -3.00973 0.0809983
5.90715 -3.00984 0.0578571
6.13004 -3.12341 0.0360234
6.07666 -3.09621 0.0119029
5.943 -3.02811 -0.0116409
5.88947 -3.00084 -0.0346103
5.69332 -2.90089 -0.0557625
5.6842 -2.89624 -0.0779438
5.65719 -2.88248 -0.0997418
5.57667 -2.84146 -0.120176
5.57627 -2.84125 -0.142023
5.46 -2.78201 -0.160465
5.3704 -2.73636 -0.178887
5.35201 -2.72698 -0.199263
6.52956 -3.29975 0.242696
6.53028 -3.30011 0.217157
6.44169 -3.25534 0.188998
6.34409 -3.20602 0.161307
