x y z
5.21926 -3.01334 0.199926
5.13327 -2.9637 0.175921
5.15108 -2.97398 0.155753
5.1519 -2.97445 0.114225
5.03099 -2.90464 0.09126
4.92732 -2.84479 0.0695144
4.74564 -2.7399 0.0478216
4.74575 -2.73996 0.0286931
4.67653 -2.7 0.00942461
4.79777 -2.77 -0.00966878
4.76307 -2.74996 -0.0287983
4.77162 -2.7549 -0.0480832
4.67619 -2.6998 -0.0659713
4.64132 -2.67967 -0.0841915
4.57177 -2.63951 -0.101362
4.57144 -2.63932 -0.11979
4.48447 -2.58911 -0.135597
4.46672 -2.57886 -0.153077
4.35371 -2.51362 -0.166771
5.40267 -3.09539 0.206557
5.33388 -3.05598 0.182447
5.26501 -3.01652 0.158894
5.04896 -2.89274 0.111729
5.10132 -2.92274 0.0923595
4.9801 -2.85329 0.0701252
4.9369 -2.82854 0.0496541
4.93702 -2.8286 0.0297926
4.91973 -2.8187 0.00989584
4.85899 -2.7839 -0.00977349
4.78952 -2.74409 -0.028903
4.70264 -2.69432 -0.0472978
4.66776 -2.67434 -0.0657269
4.65018 -2.66426 -0.0841915
4.60652 -2.63925 -0.101938
4.60619 -2.63906 -0.12047
4.56243 -2.61398 -0.137691
4.50994 -2.58391 -0.154264
4.39671 -2.51904 -0.168097
5.24782 -2.9836 0.200257
5.12675 -2.91476 0.175031
5.17939 -2.94469 0.156015
5.07591 -2.88586 0.112113
4.96322 -2.82179 0.0896893
5.04169 -2.86641 0.0708582
4.84194 -2.75284 0.0486069
4.84206 -2.75291 0.0291643
4.82473 -2.74306 0.00968641
4.74649 -2.69858 -0.00952916
4.82467 -2.74302 -0.0290601
4.642 -2.63917 -0.0465997
4.5723 -2.59954 -0.0642609
4.58946 -2.60929 -0.0829349
4.50226 -2.55972 -0.0994425
4.50193 -2.55953 -0.117521
4.50155 -2.55931 -0.135597
4.29256 -2.4405 -0.146551
4.31816 -2.45505 -0.164782
5.25717 -2.9671 0.200257
5.13588 -2.89864 0.175031
5.18861 -2.92841 0.156015
5.08495 -2.8699 0.112113
4.97206 -2.80619 0.0896893
5.05067 -2.85056 0.0708582
4.85057 -2.73762 0.0486069
4.85068 -2.73768 0.0291643
4.83333 -2.72789 0.00968641
4.75495 -2.68365 -0.00952916
4.83327 -2.72785 -0.0290601
4.65027 -2.62457 -0.0465997
4.58044 -2.58516 -0.0642609
4.59763 -2.59486 -0.0829349
4.51028 -2.54556 -0.0994425
4.50995 -2.54538 -0.117521
4.50957 -2.54516 -0.135597
4.30021 -2.427 -0.146551
4.32585 -2.44147 -0.164782
5.44138 -3.04732 0.206888
5.23267 -2.93044 0.177997
5.26807 -2.95026 0.158109
5.20746 -2.91632 0.135443
5.21656 -2.92142 0.114801
4.95517 -2.77503 0.089218
4.88561 -2.73607 0.0684148
4.93814 -2.76549 0.0493923
4.93826 -2.76556 0.0296355
4.8249 -2.70207 0.0096515
4.76382 -2.66787 -0.00952916
4.73759 -2.65318 -0.0284317
4.65023 -2.60425 -0.0465124
4.54537 -2.54553 -0.0636501
4.62366 -2.58937 -0.0832491
4.37912 -2.45243 -0.096371
4.3788 -2.45225 -0.113891
4.49181 -2.51554 -0.134811
4.29951 -2.40784 -0.146254
4.42112 -2.47595 -0.168097
5.39904 -3.00013 0.204899
5.321 -2.95676 0.180667
5.15549 -2.8648 0.154444
5.06854 -2.81648 0.131587
5.04269 -2.80212 0.110769
5.06048 -2.812 0.0909458
5.02577 -2.79271 0.0702474
5.02595 -2.79281 0.0501777
