x y z
4.5701 -2.63855 0.175059
4.61388 -2.66383 0.158121
4.5191 -2.60911 0.136644
4.50217 -2.59933 0.117974
4.36396 -2.51954 0.0967551
4.4335 -2.55968 0.0804219
4.25187 -2.45482 0.0599852
4.22604 -2.43991 0.0425856
4.22615 -2.43997 0.0255515
4.30414 -2.485 0.00867413
4.2695 -2.465 -0.00860417
4.22615 -2.43997 -0.0255519
4.22604 -2.43991 -0.0425855
4.21723 -2.43482 -0.0594963
3.97457 -2.29472 -0.0720968
3.93969 -2.27458 -0.0873482
3.9394 -2.27441 -0.103228
3.86115 -2.22924 -0.116749
3.73958 -2.15905 -0.128158
3.76514 -2.1738 -0.144225
4.70023 -2.69294 0.179701
4.64871 -2.66342 0.159011
4.69253 -2.68853 0.141618
4.53679 -2.5993 0.118655
4.52005 -2.5897 0.0818356
4.24263 -2.43076 0.0597408
4.3122 -2.47062 0.043371
4.3123 -2.47068 0.0260227
4.31236 -2.47071 0.00867413
4.12147 -2.36134 -0.00829002
4.09539 -2.3464 -0.0247142
4.09529 -2.34634 -0.0411892
3.94764 -2.26175 -0.0555869
3.95613 -2.26661 -0.0716256
3.90383 -2.23665 -0.0863883
3.90355 -2.23649 -0.102093
3.93791 -2.25618 -0.118843
3.6253 -2.07707 -0.124005
3.78967 -2.17124 -0.144888
4.63094 -2.63288 0.176717
4.63145 -2.63317 0.158121
4.4581 -2.53461 0.134288
4.4324 -2.52 0.115705
4.41534 -2.5103 0.097523
4.26785 -2.42645 0.0771233
4.23328 -2.4068 0.0594965
4.1639 -2.36734 0.0418002
4.164 -2.3674 0.0250803
4.15535 -2.36249 0.00834253
4.17274 -2.37237 -0.00837728
4.13792 -2.35258 -0.0249236
4.08566 -2.32286 -0.0410147
3.94643 -2.24371 -0.0554647
3.96362 -2.25348 -0.0716256
3.87646 -2.20393 -0.0856204
3.87618 -2.20377 -0.101186
3.72812 -2.11959 -0.112299
3.79727 -2.1589 -0.129641
3.79685 -2.15866 -0.144888
4.63919 -2.61832 0.176717
4.6397 -2.61861 0.158121
4.46604 -2.52059 0.134288
4.4403 -2.50607 0.115705
4.42321 -2.49642 0.097523
4.27545 -2.41303 0.0771233
4.24082 -2.39348 0.0594965
4.17131 -2.35425 0.0418002
4.17141 -2.35431 0.0250803
4.16276 -2.34942 0.00834253
4.18017 -2.35925 -0.00837728
4.14529 -2.33956 -0.0249236
4.09294 -2.31002 -0.0410147
3.95346 -2.2313 -0.0554647
3.97068 -2.24102 -0.0716256
3.88337 -2.19174 -0.0856204
3.88308 -2.19158 -0.101186
3.73476 -2.10786 -0.112299
3.80403 -2.14696 -0.129641
3.80361 -2.14673 -0.144888
4.69145 -2.62734 0.178375
4.46521 -2.50064 0.151891
4.54415 -2.54484 0.136382
4.42242 -2.47667 0.115025
4.32678 -2.42311 0.0952193
4.34449 -2.43303 0.0782228
4.30981 -2.41361 0.0603517
4.28379 -2.39904 0.0428474
4.2839 -2.3991 0.0257086
4.27522 -2.39424 0.00855196
4.1618 -2.33072 -0.00832492
4.10068 -2.29649 -0.0246094
3.98715 -2.23291 -0.0398802
3.89977 -2.18397 -0.0546096
3.97809 -2.22784 -0.0716256
3.92551 -2.19839 -0.0863883
3.92522 -2.19823 -0.102093
3.80278 -2.12966 -0.114132
3.68031 -2.06107 -0.125191
3.84559 -2.15364 -0.146215
4.51667 -2.50982 0.171412
4.56085 -2.53437 0.154858
4.48266 -2.49092 0.134288
4.27331 -2.37459 0.110941
4.40471 -2.4476 0.0967551
4.35254 -2.41861 0.0782228
4.30031 -2.38959 0.0601073
4.30047 -2.38968 0.0429347
4.1782 -2.32174 0.0250279
4.30062 -2.38976 0.00858687
4.11706 -2.28776 -0.00822021
4.09953 -2.27802 -0.0245571
3.95957 -2.20025 -0.0395312
4.00313 -2.22446 -0.0559534
4.02042 -2.23406 -0.0722539
3.90656 -2.17079 -0.0858124
3.90627 -2.17063 -0.101413
3.73992 -2.07819 -0.112037
3.73081 -2.07313 -0.126675
3.7304 -2.07291 -0.141573
4.52497 -2.49483 0.171412
4.56923 -2.51923 0.154858
4.49089 -2.47604 0.134288
4.28116 -2.3604 0.110941
4.4128 -2.43298 0.0967551
4.36053 -2.40417 0.0782228
4.30821 -2.37532 0.0601073
4.30837 -2.3754 0.0429347
4.18587 -2.30787 0.0250279
4.30852 -2.37549 0.00858687
4.12462 -2.2741 -0.00822021
4.10706 -2.26441 -0.0245571
3.96685 -2.18711 -0.0395312
4.01049 -2.21117 -0.0559534
4.0278 -2.22072 -0.0722539
3.91374 -2.15782 -0.0858124
3.91345 -2.15767 -0.101413
3.74679 -2.06578 -0.112037
3.73767 -2.06075 -0.126675
3.73726 -2.06052 -0.141573
4.56786 -2.49979 0.172738
4.53328 -2.48087 0.153374
4.4548 -2.43792 0.132979
4.4201 -2.41893 0.114344
4.42919 -2.42391 0.096947
4.36807 -2.39046 0.0782228
4.35074 -2.38097 0.060596
4.35089 -2.38106 0.0432837
4.24573 -2.32351 0.0253421
4.19315 -2.29473 0.00834253
4.14052 -2.26593 -0.00823766
4.01766 -2.19869 -0.0239811
4.04388 -2.21304 -0.0402293
4.00864 -2.19376 -0.0558313
3.90319 -2.13605 -0.0698978
3.76262 -2.05912 -0.0823568
3.76235 -2.05897 -0.0973291
3.76203 -2.0588 -0.112299
3.66521 -2.00581 -0.124005
3.71741 -2.03438 -0.140578
4.4268 -2.40356 0.167102
4.4185 -2.39905 0.149221
4.41894 -2.39929 0.13167
4.3666 -2.37087 0.112756
4.34934 -2.3615 0.0950273
4.25295 -2.30916 0.0760238
4.26194 -2.31405 0.0592521
4.2621 -2.31413 0.0423238
4.11281 -2.23307 0.0245043
4.14801 -2.25219 0.00823781
4.18316 -2.27127 -0.00830747
3.98099 -2.1615 -0.0237193
3.9018 -2.1185 -0.0387458
3.82257 -2.07549 -0.0531435
3.9454 -2.14218 -0.0705261
3.82215 -2.07526 -0.0835087
3.82187 -2.07511 -0.0986904
3.75126 -2.03677 -0.111776
3.75968 -2.04134 -0.126971
3.70657 -2.0125 -0.139915
4.43475 -2.38886 0.167102
4.42644 -2.38439 0.149221
4.42687 -2.38462 0.13167
4.37443 -2.35638 0.112756
4.35715 -2.34706 0.0950273
4.26058 -2.29505 0.0760238
4.2696 -2.2999 0.0592521
4.26975 -2.29999 0.0423238
4.12019 -2.21942 0.0245043
4.15546 -2.23842 0.00823781
4.19067 -2.25739 -0.00830747
3.98813 -2.14829 -0.0237193
3.9088 -2.10555 -0.0387458
3.82943 -2.0628 -0.0531435
3.95248 -2.12908 -0.0705261
3.82901 -2.06257 -0.0835087
3.82873 -2.06242 -0.0986904
3.758 -2.02432 -0.111776
3.76643 -2.02886 -0.126971
3.71322 -2.0002 -0.139915
4.46909 -2.38828 0.168097
4.55774 -2.43565 0.153374
4.48765 -2.3982 0.133241
4.49685 -2.40311 0.115705
4.26791 -2.28077 0.0929156
4.28581 -2.29033 0.076338
4.30366 -2.29987 0.0596186
4.30381 -2.29995 0.0425856
4.13635 -2.21046 0.0245567
4.20695 -2.24819 0.00832507
4.23341 -2.26233 -0.00837728
4.04815 -2.16333 -0.0240335
3.9334 -2.10201 -0.0389203
3.93326 -2.10193 -0.0544874
3.82724 -2.04528 -0.06817
3.81819 -2.04044 -0.0831247
3.81791 -2.04029 -0.0982366
3.72061 -1.98829 -0.110467
3.72906 -1.99281 -0.125488
3.7022 -1.97845 -0.139252
4.55604 -2.41637 0.171081
4.51238 -2.39322 0.151594
4.45984 -2.36535 0.132194
4.3719 -2.31871 0.112302
4.32805 -2.29546 0.0940674
4.30182 -2.28154 0.076495
4.13418 -2.19263 0.0571753
4.13434 -2.19271 0.0408403
4.24928 -2.25368 0.025185
4.12565 -2.18811 0.00815054
4.13449 -2.1928 -0.00816785
3.90475 -2.07095 -0.0231433
4.03716 -2.14118 -0.0398802
3.86917 -2.05208 -0.05351
3.83365 -2.03324 -0.06817
3.82458 -2.02843 -0.0831247
3.82431 -2.02829 -0.0982366
3.73567 -1.98127 -0.110729
3.65583 -1.93893 -0.122818
3.71723 -1.9715 -0.139584
4.56403 -2.40125 0.171081
4.5203 -2.37824 0.151594
4.46766 -2.35055 0.132194
4.37956 -2.3042 0.112302
4.33564 -2.28109 0.0940674
4.30936 -2.26726 0.076495
4.14143 -2.17891 0.0571753
4.14158 -2.17899 0.0408403
4.25673 -2.23958 0.025185
4.13289 -2.17442 0.00815054
4.14174 -2.17907 -0.00816785
3.91159 -2.05799 -0.0231433
4.04424 -2.12778 -0.0398802
3.87596 -2.03924 -0.05351
3.84037 -2.02052 -0.06817
3.83129 -2.01574 -0.0831247
3.83101 -2.01559 -0.0982366
3.74221 -1.96887 -0.110729
3.66224 -1.9268 -0.122818
3.72375 -1.95916 -0.139584
4.59854 -2.39997 0.172075
4.39524 -2.29387 0.147144
4.46656 -2.33109 0.131932
4.4049 -2.29891 0.112756
4.26341 -2.22507 0.0923396
4.31685 -2.25296 0.076495
4.20182 -2.19293 0.0579083
4.20198 -2.19301 0.0413639
4.24641 -2.21619 0.0250803
4.14894 -2.16533 0.008168
4.08688 -2.13294 -0.00804568
4.04251 -2.10978 -0.0238764
3.98035 -2.07734 -0.0391821
3.92702 -2.04951 -0.0541209
3.84705 -2.00777 -0.06817
3.8025 -1.98452 -0.0823568
3.80222 -1.98437 -0.0973291
3.79303 -1.97958 -0.112037
3.7395 -1.95164 -0.125191
3.64162 -1.90056 -0.136268
4.46447 -2.31119 0.16677
4.47383 -2.31604 0.149518
4.38549 -2.27031 0.129314
4.39475 -2.2751 0.112302
4.35955 -2.25688 0.0942594
4.3687 -2.26162 0.0772804
4.23571 -2.19277 0.0582748
4.23587 -2.19285 0.0416257
4.17381 -2.16072 0.024609
4.07617 -2.11018 0.00801092
4.13834 -2.14236 -0.00813294
4.09388 -2.11935 -0.0241382
3.88066 -2.00896 -0.0381349
3.87164 -2.00429 -0.0532657
3.88033 -2.00879 -0.0686412
3.78242 -1.95811 -0.0817809
3.78215 -1.95797 -0.0966485
3.78182 -1.9578 -0.111514
3.74595 -1.93923 -0.125191
3.65678 -1.89307 -0.1366
4.47171 -2.29716 0.16677
4.48109 -2.30198 0.149518
4.39261 -2.25652 0.129314
4.40187 -2.26128 0.112302
4.36662 -2.24318 0.0942594
4.37578 -2.24788 0.0772804
4.24258 -2.17945 0.0582748
4.24273 -2.17953 0.0416257
4.18057 -2.1476 0.024609
4.08278 -2.09736 0.00801092
4.14505 -2.12935 -0.00813294
4.10052 -2.10648 -0.0241382
3.88695 -1.99676 -0.0381349
3.87791 -1.99212 -0.0532657
3.88662 -1.99659 -0.0686412
3.78856 -1.94622 -0.0817809
3.78828 -1.94608 -0.0966485
3.78796 -1.94591 -0.111514
3.75202 -1.92745 -0.125191
3.66271 -1.88157 -0.1366
4.47039 -2.27778 0.166439
4.43526 -2.25988 0.147738
4.50695 -2.2964 0.132456
4.50733 -2.2966 0.114798
4.50766 -2.29677 0.097139
4.18721 -2.13349 0.0738248
4.1696 -2.12452 0.0571753
4.16975 -2.12459 0.0408403
4.27677 -2.17912 0.0251326
4.19663 -2.13829 0.00822036
4.12535 -2.10197 -0.00808059
4.11639 -2.09741 -0.0241905
3.92919 -2.00202 -0.038484
3.90232 -1.98833 -0.05351
3.90213 -1.98823 -0.0687983
3.88407 -1.97903 -0.0837007
3.88379 -1.97889 -0.0989172
3.74095 -1.90611 -0.109943
3.67824 -1.87416 -0.122521
3.64221 -1.8558 -0.135605
4.5136 -2.28097 0.167765
4.50518 -2.27672 0.149814
4.4164 -2.23185 0.129576
4.33647 -2.19146 0.110261
4.39033 -2.21867 0.0944514
4.22104 -2.13312 0.074296
4.1677 -2.10617 0.0570531
4.16785 -2.10625 0.040753
4.1501 -2.09728 0.0243472
4.0966 -2.07024 0.00801092
3.9181 -1.98003 -0.00766172
3.90913 -1.9755 -0.0229339
3.95366 -1.998 -0.0386585
3.72148 -1.88067 -0.0509445
3.82838 -1.93469 -0.0673846
3.76569 -1.90301 -0.081013
3.77433 -1.90738 -0.0959679
3.77401 -1.90722 -0.110729
3.67551 -1.85744 -0.122225
3.67511 -1.85724 -0.1366
4.62836 -2.31973 0.171744
4.63781 -2.32447 0.153968
4.46846 -2.23959 0.130885
4.44203 -2.22634 0.112756
4.4066 -2.20858 0.0946433
4.21021 -2.11015 0.0739819
4.17466 -2.09234 0.0570531
4.17481 -2.09241 0.040753
4.15703 -2.0835 0.0243472
4.10344 -2.05664 0.00801092
3.92464 -1.96703 -0.00766172
3.91566 -1.96252 -0.0229339
3.96026 -1.98488 -0.0386585
3.72769 -1.86832 -0.0509445
3.83478 -1.92199 -0.0673846
3.77198 -1.89051 -0.081013
3.78064 -1.89485 -0.0959679
3.78032 -1.89469 -0.110729
3.70846 -1.85868 -0.123115
3.69912 -1.85399 -0.137263
4.63563 -2.30518 0.171744
4.64509 -2.30988 0.153968
4.47547 -2.22554 0.130885
4.449 -2.21237 0.112756
4.41351 -2.19473 0.0946433
4.21682 -2.09692 0.0739819
4.19912 -2.08812 0.0572974
4.19927 -2.08819 0.0409276
4.23519 -2.10605 0.0247661
4.08302 -2.03038 0.00795856
4.09198 -2.03484 -0.00797587
4.0382 -2.0081 -0.0236146
3.85008 -1.91455 -0.0375241
3.93052 -1.95455 -0.0536322
3.90347 -1.9411 -0.0684841
3.83161 -1.90536 -0.0821649
3.73286 -1.85626 -0.0946066
3.73254 -1.8561 -0.109158
3.71428 -1.84702 -0.123115
3.70492 -1.84236 -0.137263
4.60739 -2.27211 0.170418
4.581 -2.2591 0.151594
4.45593 -2.19742 0.1301
4.49218 -2.2153 0.113664
4.3311 -2.13586 0.0927236
4.4031 -2.17137 0.0771233
4.15221 -2.04764 0.0565644
4.15236 -2.04772 0.040404
4.1704 -2.05661 0.0243472
4.10767 -2.02568 0.00799347
4.05386 -1.99914 -0.00788861
4.08072 -2.01239 -0.023824
4.03577 -1.99022 -0.0392694
4.02666 -1.98573 -0.0548539
3.90091 -1.92372 -0.068327
3.89171 -1.91918 -0.0833167
3.83763 -1.89251 -0.0971022
3.8373 -1.89235 -0.112037
3.7921 -1.87006 -0.125488
3.71101 -1.83007 -0.137263
4.57899 -2.23926 0.169091
4.52561 -2.21316 0.149518
4.61586 -2.25729 0.13455
4.40969 -2.15647 0.111395
4.41001 -2.15662 0.0942594
4.35638 -2.1304 0.0761809
4.24881 -2.07779 0.0577861
4.24896 -2.07787 0.0412766
4.1233 -2.01641 0.0240331
4.1503 -2.02962 0.00806328
4.12335 -2.01644 -0.00801077
4.10533 -2.00763 -0.0239287
4.0154 -1.96365 -0.0390076
3.8895 -1.90208 -0.0528992
3.90727 -1.91077 -0.068327
3.83518 -1.87552 -0.0819729
3.84388 -1.87977 -0.0971022
3.84355 -1.87961 -0.112037
3.76237 -1.83991 -0.124301
3.69012 -1.80458 -0.136268
4.58639 -2.22406 0.169091
4.53293 -2.19814 0.149518
4.62332 -2.24197 0.13455
4.41681 -2.14183 0.111395
4.41714 -2.14199 0.0942594
4.36343 -2.11594 0.0761809
4.36364 -2.11605 0.0592521
4.25583 -2.06377 0.0412766
4.12996 -2.00273 0.0240331
4.15701 -2.01584 0.00806328
4.13001 -2.00275 -0.00801077
4.11197 -1.994 -0.0239287
4.02189 -1.95032 -0.0390076
3.89578 -1.88917 -0.0528992
3.91359 -1.8978 -0.068327
3.84138 -1.86279 -0.0819729
3.85009 -1.86701 -0.0971022
3.84977 -1.86686 -0.112037
3.76845 -1.82742 -0.124301
3.69609 -1.79233 -0.136268
4.5213 -2.17498 0.166439
4.53981 -2.18389 0.149518
4.39612 -2.11476 0.127744
4.4055 -2.11928 0.110941
4.3878 -2.11076 0.0934915
4.29797 -2.06755 0.0749243
4.29818 -2.06765 0.0582748
4.18119 -2.01137 0.0404912
4.03711 -1.94206 0.0234571
4.13628 -1.98977 0.00801092
4.1453 -1.99411 -0.00802823
4.1092 -1.97674 -0.0238764
4.00998 -1.92901 -0.0388331
3.91071 -1.88126 -0.0530214
3.96458 -1.90717 -0.0691124
3.82919 -1.84204 -0.081589
3.87396 -1.86358 -0.097556
3.87363 -1.86342 -0.112561
3.74714 -1.80257 -0.123411
3.67468 -1.76772 -0.135273
4.55555 -2.17289 0.167434
4.60116 -2.19464 0.151298
4.4392 -2.11739 0.128791
4.43958 -2.11757 0.111622
4.53917 -2.16507 0.0965631
4.27773 -2.04037 0.0744531
4.27793 -2.04047 0.0579083
4.27809 -2.04054 0.0413639
4.28722 -2.0449 0.0248708
4.16091 -1.98465 0.00804583
4.21507 -2.01048 -0.0081504
4.12476 -1.96741 -0.0239287
3.94415 -1.88126 -0.0381349
3.93498 -1.87689 -0.0532657
3.94381 -1.8811 -0.0686412
3.93455 -1.87668 -0.0837007
3.84402 -1.83351 -0.0966485
3.8437 -1.83335 -0.111514
3.79821 -1.81165 -0.124895
3.76171 -1.79424 -0.138257
4.49045 -2.12358 0.164781
4.53612 -2.14518 0.148924
4.34679 -2.05565 0.125911
4.3562 -2.0601 0.109353
4.45594 -2.10726 0.0946433
4.31159 -2.039 0.0749243
4.3118 -2.0391 0.0582748
4.11308 -1.94512 0.0397059
4.23974 -2.00502 0.0245567
3.98667 -1.88534 0.00769677
4.09515 -1.93664 -0.00790606
4.14934 -1.96227 -0.0240335
4.07692 -1.92802 -0.0393567
3.95022 -1.8681 -0.0533879
3.92291 -1.85519 -0.06817
3.85036 -1.82088 -0.0817809
3.77778 -1.78656 -0.0948335
3.77746 -1.7864 -0.10942
3.74095 -1.76914 -0.122818
3.80378 -1.79885 -0.139584
4.49747 -2.10868 0.164781
4.54321 -2.13013 0.148924
4.35358 -2.04122 0.125911
4.363 -2.04564 0.109353
4.4629 -2.09248 0.0946433
4.31832 -2.02469 0.0749243
4.31853 -2.02479 0.0582748
4.11951 -1.93147 0.0397059
4.24636 -1.99095 0.0245567
3.9929 -1.87211 0.00769677
4.10155 -1.92305 -0.00790606
4.15582 -1.9485 -0.0240335
4.08329 -1.91449 -0.0393567
3.95639 -1.85499 -0.0533879
3.92904 -1.84217 -0.06817
3.85638 -1.8081 -0.0817809
3.78368 -1.77402 -0.0948335
3.78336 -1.77387 -0.10942
3.74679 -1.75672 -0.122818
3.80973 -1.78623 -0.139584
4.48594 -2.08611 0.164118
4.64052 -2.15799 0.151891
4.55939 -2.12027 0.13167
4.40567 -2.04878 0.110261
4.36973 -2.03207 0.0925316
4.2612 -1.9816 0.0738248
4.26141 -1.9817 0.0574196
4.4157 -2.05345 0.0424984
4.35234 -2.02398 0.0251326
4.00783 -1.86377 0.00771422
4.10757 -1.91016 -0.00790606
4.18913 -1.94808 -0.0241905
3.87167 -1.80046 -0.0372623
3.97127 -1.84677 -0.05351
3.92574 -1.8256 -0.0680129
3.9255 -1.82549 -0.0831247
3.74391 -1.74104 -0.0936991
3.74359 -1.7409 -0.108111
3.77948 -1.75759 -0.123708
3.78813 -1.76161 -0.138589
4.5473 -2.09633 0.166107
4.43887 -2.04635 0.145068
4.47561 -2.06329 0.129053
4.40336 -2.02998 0.110034
4.3038 -1.98408 0.0909958
4.34039 -2.00095 0.0750814
