x y z
7.26196 -4.19269 0.278172
6.89053 -3.97825 0.236143
6.79597 -3.92366 0.205489
6.77923 -3.91399 0.177642
6.91827 -3.99426 0.153387
6.64159 -3.83453 0.120476
6.57264 -3.79472 0.0927265
6.5469 -3.77986 0.0659728
6.54706 -3.77995 0.0395839
6.3393 -3.65999 0.0127756
6.52116 -3.76499 -0.0131419
6.30458 -3.63995 -0.0381184
6.15721 -3.55486 -0.0620456
6.02709 -3.47974 -0.0850297
5.87959 -3.39458 -0.106653
5.84459 -3.37438 -0.129582
5.84417 -3.37413 -0.15314
5.77441 -3.33386 -0.1746
5.80847 -3.35352 -0.19906
5.34909 -3.0883 -0.204899
7.46661 -4.2779 0.285466
7.19856 -4.12432 0.246229
6.89568 -3.95079 0.208107
6.80952 -3.90143 0.178096
6.72327 -3.85201 0.14878
6.56752 -3.76277 0.118905
6.4377 -3.6884 0.0906497
6.42925 -3.68356 0.0646638
6.42941 -3.68365 0.0387985
6.4989 -3.72346 0.0130723
6.11713 -3.50473 -0.0123041
6.16043 -3.52954 -0.0371759
5.95205 -3.41015 -0.059864
6.04727 -3.46471 -0.0851518
5.84743 -3.35021 -0.105868
5.88178 -3.36989 -0.130158
5.88135 -3.36964 -0.153821
5.93289 -3.39917 -0.17905
5.78487 -3.31437 -0.197873
5.66283 -3.24444 -0.216504
7.06371 -4.01601 0.269551
6.89938 -3.92258 0.23555
6.76101 -3.84391 0.203657
6.88326 -3.91342 0.179684
6.68386 -3.80005 0.147628
6.50173 -3.6965 0.117491
6.71067 -3.81529 0.0943147
6.38058 -3.62762 0.064053
6.38074 -3.62771 0.038432
6.53729 -3.71672 0.0131246
6.4069 -3.64258 -0.0128626
6.31989 -3.59311 -0.0380661
6.14588 -3.49418 -0.0616966
5.94572 -3.38039 -0.0835636
5.78028 -3.28633 -0.104454
5.82339 -3.31083 -0.128623
5.82296 -3.31059 -0.152006
5.83115 -3.31525 -0.175647
5.59597 -3.18154 -0.19105
5.50847 -3.13179 -0.210204
7.07629 -3.99379 0.269551
6.91167 -3.90089 0.23555
6.77305 -3.82265 0.203657
6.89552 -3.89177 0.179684
6.69576 -3.77903 0.147628
6.51331 -3.67606 0.117491
6.72262 -3.79419 0.0943147
6.39195 -3.60756 0.064053
6.3921 -3.60765 0.038432
6.54894 -3.69616 0.0131246
6.41831 -3.62244 -0.0128626
6.33114 -3.57324 -0.0380661
6.15682 -3.47486 -0.0616966
5.95631 -3.36169 -0.0835636
5.79058 -3.26815 -0.104454
5.83376 -3.29252 -0.128623
5.83333 -3.29228 -0.152006
5.84154 -3.29691 -0.175647
5.60594 -3.16394 -0.19105
5.51829 -3.11447 -0.210204
7.27262 -4.07286 0.276514
7.02922 -3.93655 0.23911
6.92524 -3.87832 0.207845
6.93456 -3.88354 0.180364
6.58613 -3.68841 0.144941
6.63015 -3.71306 0.119376
6.6741 -3.73767 0.0934596
6.57837 -3.68406 0.0657983
6.57853 -3.68415 0.0394792
6.43029 -3.60113 0.0128629
6.35176 -3.55716 -0.0127055
6.36913 -3.56689 -0.0382232
6.11596 -3.4251 -0.061173
5.83656 -3.26863 -0.0817311
6.01948 -3.37107 -0.108381
5.93188 -3.32201 -0.130542
5.93145 -3.32177 -0.154275
5.73906 -3.21403 -0.172244
5.7821 -3.23813 -0.196687
5.71171 -3.19871 -0.217167
7.00652 -3.89337 0.265904
