x y z
3.71321 -2.14382 0.142236
3.68764 -2.12906 0.126378
3.59277 -2.07429 0.108635
3.67966 -2.12445 0.0964212
3.56737 -2.05962 0.0790934
3.60222 -2.07974 0.0653428
3.56776 -2.05985 0.0503338
3.55057 -2.04992 0.0357789
3.55066 -2.04997 0.0214674
3.45544 -1.995 0.00696374
3.49874 -2.02 -0.00705088
3.46405 -1.99997 -0.0209442
3.45531 -1.99492 -0.0348189
3.44652 -1.98985 -0.0486233
3.38574 -1.95476 -0.0614158
3.17773 -1.83466 -0.0704545
3.1775 -1.83453 -0.0832629
3.1426 -1.81438 -0.0950224
3.12498 -1.80421 -0.107095
3.0727 -1.77402 -0.117701
3.79834 -2.17621 0.14522
3.73805 -2.14167 0.127861
3.73841 -2.14188 0.112823
3.68669 -2.11224 0.0964212
3.64358 -2.08754 0.0806292
3.68718 -2.11252 0.0667564
3.59192 -2.05795 0.0505781
3.55735 -2.03814 0.0357789
3.55743 -2.03819 0.0214674
3.51409 -2.01335 0.00706846
3.47071 -1.9885 -0.00698107
3.34919 -1.91888 -0.0202111
3.29705 -1.889 -0.0331608
3.2015 -1.83426 -0.0450804
3.22737 -1.84908 -0.0584314
3.15777 -1.8092 -0.0698785
3.15754 -1.80907 -0.0825823
3.14859 -1.80395 -0.0950224
3.07023 -1.75905 -0.105018
3.06122 -1.75389 -0.117038
3.80554 -2.1636 0.14522
3.70168 -2.10456 0.126378
3.66728 -2.085 0.110467
3.64152 -2.07035 0.09506
3.65917 -2.08039 0.0808212
3.64201 -2.07063 0.065814
3.59873 -2.04602 0.0505781
3.56409 -2.02633 0.0357789
3.56417 -2.02638 0.0214674
3.43382 -1.95227 0.00689393
3.35558 -1.90778 -0.00673673
3.32077 -1.88799 -0.0200017
3.32938 -1.89289 -0.0334226
3.19018 -1.81375 -0.044836
3.19002 -1.81366 -0.057646
3.13768 -1.7839 -0.0693026
3.13745 -1.78377 -0.0819017
3.11111 -1.76879 -0.0937135
3.0326 -1.72416 -0.103535
3.04964 -1.73385 -0.116375
3.81232 -2.15164 0.14522
3.70828 -2.09292 0.126378
3.67382 -2.07347 0.110467
3.64801 -2.0589 0.09506
3.66569 -2.06888 0.0808212
3.6485 -2.05918 0.065814
3.60514 -2.03471 0.0505781
3.57043 -2.01512 0.0357789
3.57052 -2.01517 0.0214674
3.43993 -1.94147 0.00689393
3.36156 -1.89723 -0.00673673
3.32668 -1.87755 -0.0200017
3.33531 -1.88242 -0.0334226
3.19586 -1.80371 -0.044836
3.1957 -1.80363 -0.057646
3.14326 -1.77403 -0.0693026
3.14303 -1.7739 -0.0819017
3.11665 -1.75901 -0.0937135
3.038 -1.71462 -0.103535
3.05508 -1.72426 -0.116375
3.81943 -2.13898 0.14522
3.7152 -2.08061 0.126378
3.54112 -1.98312 0.106279
3.71588 -2.08099 0.0966481
3.70742 -2.07626 0.0815891
3.57679 -2.0031 0.0644003
3.47228 -1.94457 0.0486234
3.4026 -1.90555 0.0340336
3.40269 -1.9056 0.0204203
3.35038 -1.8763 0.00670195
3.25441 -1.82255 -0.00650985
3.34161 -1.87139 -0.0200541
3.32408 -1.86158 -0.0332481
3.23672 -1.81265 -0.0453247
3.24528 -1.81745 -0.0584314
3.15785 -1.76848 -0.0694946
3.15762 -1.76835 -0.0821285
3.18352 -1.78286 -0.0955459
3.13088 -1.75338 -0.106502
3.10438 -1.73854 -0.118033
3.76535 -2.09232 0.142899
3.73955 -2.07799 0.126971
3.57389 -1.98594 0.107064
3.46059 -1.92298 0.0898419
3.47832 -1.93283 0.0764058
3.57468 -1.98637 0.0642433
3.435 -1.90876 0.0480126
3.43513 -1.90883 0.0342954
3.35654 -1.86516 0.0201061
3.36532 -1.87004 0.0067194
3.3391 -1.85547 -0.00666692
3.37402 -1.87487 -0.0202111
3.35646 -1.86511 -0.0335099
3.25145 -1.80676 -0.0454469
3.16389 -1.75811 -0.0568607
3.1637 -1.758 -0.0694946
3.16347 -1.75787 -0.0821285
3.12825 -1.7383 -0.0937135
3.15415 -1.7527 -0.107095
3.02276 -1.67969 -0.114717
3.77227 -2.07983 0.142899
3.74642 -2.06558 0.126971
3.58046 -1.97407 0.107064
3.46695 -1.91149 0.0898419
3.48471 -1.92129 0.0764058
3.58124 -1.97451 0.0642433
3.44131 -1.89736 0.0480126
3.44144 -1.89743 0.0342954
3.36271 -1.85402 0.0201061
3.37151 -1.85887 0.0067194
3.34524 -1.84438 -0.00666692
3.38022 -1.86367 -0.0202111
3.36263 -1.85397 -0.0335099
3.25743 -1.79597 -0.0454469
3.16971 -1.74761 -0.0568607
3.16951 -1.7475 -0.0694946
3.16928 -1.74737 -0.0821285
3.13399 -1.72792 -0.0937135
3.15995 -1.74223 -0.107095
3.02832 -1.66965 -0.114717
3.77878 -2.06797 0.142899
3.60383 -1.97222 0.121928
3.56033 -1.94842 0.106279
3.55187 -1.94378 0.0918838
3.5609 -1.94873 0.0779416
3.44709 -1.88644 0.0617301
3.36831 -1.84333 0.046913
3.36843 -1.8434 0.03351
3.49133 -1.91065 0.0208391
3.36856 -1.84347 0.00670195
3.27206 -1.79066 -0.00650985
3.35097 -1.83384 -0.0200017
3.29826 -1.805 -0.0328118
3.33323 -1.82413 -0.0464242
3.14887 -1.72324 -0.0563895
3.18376 -1.74233 -0.0696866
3.18353 -1.74221 -0.0823554
3.13064 -1.71326 -0.0934518
3.1128 -1.7035 -0.105315
3.09492 -1.69372 -0.117038
3.62752 -1.96958 0.136931
3.61035 -1.96026 0.121928
3.53163 -1.91752 0.105232
3.49679 -1.8986 0.0902957
3.54098 -1.9226 0.0773657
3.40939 -1.85115 0.0609447
3.41834 -1.85601 0.0475239
3.41847 -1.85608 0.0339463
3.40098 -1.84658 0.0202632
3.32192 -1.80366 0.00659723
3.31314 -1.79889 -0.00657966
3.29552 -1.78932 -0.0196352
3.2515 -1.76542 -0.0322882
3.26017 -1.77013 -0.0453247
3.17214 -1.72233 -0.0567036
3.16316 -1.71746 -0.0691106
3.16293 -1.71733 -0.0816748
3.17144 -1.72195 -0.0944988
3.10086 -1.68363 -0.104722
3.02147 -1.64052 -0.114054
3.63403 -1.95754 0.136931
3.61683 -1.94828 0.121928
3.53797 -1.9058 0.105232
3.50307 -1.887 0.0902957
3.54734 -1.91084 0.0773657
3.41551 -1.83983 0.0609447
3.42448 -1.84466 0.0475239
3.4246 -1.84473 0.0339463
3.40708 -1.83529 0.0202632
3.32789 -1.79263 0.00659723
3.31908 -1.78789 -0.00657966
3.30143 -1.77838 -0.0196352
3.25734 -1.75463 -0.0322882
3.26602 -1.75931 -0.0453247
3.17783 -1.7118 -0.0567036
3.16884 -1.70696 -0.0691106
3.1686 -1.70683 -0.0816748
3.17714 -1.71143 -0.0944988
3.10643 -1.67334 -0.104722
3.02689 -1.6305 -0.114054
3.54354 -1.89366 0.133284
3.63209 -1.94098 0.122225
3.50019 -1.8705 0.103923
3.49167 -1.86595 0.0898419
3.5272 -1.88493 0.0767897
3.46568 -1.85206 0.0617301
3.45703 -1.84744 0.0478904
3.45716 -1.8475 0.0342081
3.42197 -1.8287 0.0203155
3.33381 -1.78159 0.00659723
3.32499 -1.77687 -0.00657966
3.29849 -1.76271 -0.0195828
3.25432 -1.7391 -0.0322009
3.26302 -1.74375 -0.0452025
3.20113 -1.71068 -0.0570177
3.1833 -1.70115 -0.0693026
3.18306 -1.70103 -0.0819017
3.13871 -1.67732 -0.09319
3.08551 -1.64889 -0.103832
3.0411 -1.62516 -0.114386
3.63777 -1.92935 0.136599
3.51454 -1.864 0.118071
3.55021 -1.88291 0.105232
3.55934 -1.88776 0.09143
3.48011 -1.84573 0.0756379
3.42732 -1.81774 0.0609447
3.39215 -1.79909 0.046913
3.39228 -1.79915 0.03351
3.41886 -1.81325 0.0202632
3.34823 -1.77579 0.00661468
3.29522 -1.74768 -0.00650985
3.32168 -1.76171 -0.0196875
3.27743 -1.73824 -0.0323754
3.26848 -1.73349 -0.0452025
3.20649 -1.70061 -0.0570177
3.18863 -1.69114 -0.0693026
3.18839 -1.69102 -0.0819017
3.20578 -1.70024 -0.0950224
3.05535 -1.62046 -0.102645
3.01087 -1.59687 -0.113059
3.64414 -1.91728 0.136599
3.5207 -1.85233 0.118071
3.55643 -1.87113 0.105232
3.56558 -1.87594 0.09143
3.48621 -1.83418 0.0756379
3.43333 -1.80636 0.0609447
3.3981 -1.78783 0.046913
3.39822 -1.78789 0.03351
3.42485 -1.8019 0.0202632
3.3541 -1.76468 0.00661468
3.301 -1.73674 -0.00650985
3.32751 -1.75069 -0.0196875
3.28318 -1.72736 -0.0323754
3.27421 -1.72265 -0.0452025
3.21211 -1.68997 -0.0570177
3.19422 -1.68056 -0.0693026
3.19398 -1.68044 -0.0819017
