x y z
2.95152 -1.70406 0.113059
2.822 -1.62928 0.0967118
2.90019 -1.67443 0.0876929
2.84849 -1.64458 0.0746414
2.87485 -1.6598 0.0521486
2.85767 -1.64988 0.0403159
2.7452 -1.58494 0.0276632
2.74526 -1.58498 0.016598
2.76262 -1.595 0.0055675
2.8752 -1.66 -0.00579429
2.59804 -1.49998 -0.0157081
2.7019 -1.55994 -0.0272268
2.64984 -1.52989 -0.0373837
2.68435 -1.54981 -0.0486928
2.61491 -1.50972 -0.0579761
2.61472 -1.50961 -0.0685161
2.57962 -1.48934 -0.0884052
2.67455 -1.54415 -0.10245
2.86177 -1.63961 0.109412
2.8881 -1.6547 0.0987884
2.89705 -1.65983 0.0874312
2.79321 -1.60033 0.0730533
2.98445 -1.7099 0.0540335
2.84577 -1.63045 0.0400716
2.68103 -1.53606 0.0269651
2.68109 -1.5361 0.0161791
2.76789 -1.58583 0.0055675
2.74186 -1.57091 -0.00551504
2.69844 -1.54604 -0.0162841
2.69838 -1.546 -0.0271395
2.68093 -1.536 -0.0377502
2.61139 -1.49616 -0.0472792
2.61991 -1.50104 -0.0579761
2.61972 -1.50093 -0.0685161
2.61056 -1.49569 -0.0892952
2.57559 -1.47565 -0.0984711
2.90194 -1.64987 0.110738
2.85881 -1.62535 0.0976018
2.89385 -1.64527 0.0871694
2.86803 -1.63059 0.0748683
2.86824 -1.63071 0.0633515
2.88579 -1.64069 0.0521486
2.79901 -1.59135 0.0393385
2.74695 -1.56176 0.0275759
2.74702 -1.56179 0.0165456
2.80791 -1.59641 0.00563731
2.79052 -1.58653 -0.00560231
2.71225 -1.54202 -0.0163365
2.65133 -1.50739 -0.0266159
2.65124 -1.50734 -0.0372616
2.63372 -1.49738 -0.0475933
2.63356 -1.49729 -0.0581681
2.63337 -1.49718 -0.0687429
2.58969 -1.47235 -0.0780073
2.57206 -1.46232 -0.0878119
2.54571 -1.44734 -0.0971449
2.90711 -1.64075 0.110738
2.8639 -1.61636 0.0976018
2.89901 -1.63617 0.0871694
2.87313 -1.62157 0.0748683
2.87334 -1.62169 0.0633515
2.89093 -1.63162 0.0521486
2.80399 -1.58255 0.0393385
2.75185 -1.55312 0.0275759
2.75191 -1.55316 0.0165456
2.81291 -1.58758 0.00563731
2.79549 -1.57775 -0.00560231
2.71708 -1.5335 -0.0163365
2.65605 -1.49905 -0.0266159
2.65596 -1.499 -0.0372616
2.63841 -1.4891 -0.0475933
2.63825 -1.48901 -0.0581681
2.63806 -1.4889 -0.0687429
2.59431 -1.4642 -0.0780073
2.57664 -1.45423 -0.0878119
2.55025 -1.43934 -0.0971449
2.92125 -1.63598 0.11107
2.77332 -1.55313 0.0943385
2.87825 -1.6119 0.0863841
2.96572 -1.66088 0.077137
2.89615 -1.62192 0.0637355
2.83526 -1.58782 0.051049
2.79178 -1.56347 0.0390942
2.73081 -1.52933 0.0273141
2.73088 -1.52936 0.0163886
2.77453 -1.55381 0.00555005
2.73091 -1.52938 -0.00546269
2.7047 -1.51471 -0.0162318
2.74826 -1.5391 -0.0274886
2.64347 -1.48041 -0.0370172
2.68696 -1.50477 -0.0483787
2.62573 -1.47048 -0.0577842
2.62554 -1.47037 -0.0682892
2.65148 -1.4849 -0.079578
2.56401 -1.43591 -0.0872185
2.63349 -1.47482 -0.100129
2.94414 -1.63599 0.111733
2.90077 -1.6119 0.0984918
2.8661 -1.59263 0.0858605
2.89256 -1.60734 0.0750951
2.90152 -1.61231 0.0637355
2.83177 -1.57356 0.050892
2.78821 -1.54935 0.038972
2.78831 -1.5494 0.0278377
2.68349 -1.49116 0.0160744
2.82338 -1.56889 0.00563731
2.78841 -1.54946 -0.0055674
2.73593 -1.5203 -0.0163888
2.68342 -1.49112 -0.0267904
2.66584 -1.48135 -0.0372616
2.63949 -1.46671 -0.0474363
2.69177 -1.49576 -0.059128
2.69157 -1.49565 -0.0698773
2.62144 -1.45668 -0.0785309
2.56002 -1.42255 -0.0869219
2.60342 -1.44667 -0.0988026
2.94955 -1.62622 0.111733
2.9061 -1.60227 0.0984918
2.87137 -1.58312 0.0858605
2.89788 -1.59774 0.0750951
2.90685 -1.60268 0.0637355
2.83697 -1.56416 0.050892
2.79333 -1.54009 0.038972
2.79343 -1.54015 0.0278377
2.68842 -1.48225 0.0160744
2.82856 -1.55952 0.00563731
2.79353 -1.54021 -0.0055674
2.74096 -1.51122 -0.0163888
2.68835 -1.48221 -0.0267904
2.67074 -1.4725 -0.0372616
2.64434 -1.45795 -0.0474363
2.69671 -1.48682 -0.059128
2.69652 -1.48671 -0.0698773
2.62625 -1.44798 -0.0785309
2.56472 -1.41405 -0.0869219
2.6082 -1.43802 -0.0988026
2.86696 -1.56897 0.108417
2.88482 -1.57874 0.0976018
2.92894 -1.60289 0.0874312
2.92919 -1.60302 0.0757757
2.93818 -1.60794 0.0643114
2.87696 -1.57444 0.0515203
2.8157 -1.54091 0.0392164
2.8158 -1.54097 0.0280123
2.76324 -1.5122 0.0164933
2.79836 -1.53142 0.0055675
2.70186 -1.47861 -0.00537542
2.73692 -1.4978 -0.0163365
2.70177 -1.47856 -0.0268777
2.68412 -1.46891 -0.0373837
2.67463 -1.46371 -0.0798397
2.6393 -1.44438 -0.0892952
2.5075 -1.37225 -0.094824
2.88094 -1.56422 0.108749
2.96909 -1.61209 0.100272
2.94303 -1.59793 0.0876929
2.90814 -1.57899 0.0750951
2.86442 -1.55525 0.0625836
2.83823 -1.54103 0.0507349
2.82958 -1.53634 0.0393385
2.82968 -1.53639 0.0280995
2.83854 -1.5412 0.0169122
2.7419 -1.48873 0.00544533
2.71554 -1.47442 -0.00539287
2.73308 -1.48394 -0.0162841
2.68029 -1.45528 -0.0266159
2.76807 -1.50294 -0.0384833
2.6619 -1.4453 -0.0793162
2.64408 -1.43562 -0.0892952
2.51203 -1.36392 -0.094824
2.88611 -1.55466 0.108749
2.97442 -1.60223 0.100272
2.94831 -1.58817 0.0876929
2.91336 -1.56934 0.0750951
2.86956 -1.54574 0.0625836
2.84332 -1.53161 0.0507349
2.83466 -1.52694 0.0393385
2.83476 -1.527 0.0280995
2.84364 -1.53178 0.0169122
2.74683 -1.47963 0.00544533
2.72041 -1.46541 -0.00539287
2.73799 -1.47487 -0.0162841
2.6851 -1.44638 -0.0266159
2.77304 -1.49375 -0.0384833
2.66668 -1.43646 -0.0793162
2.64882 -1.42684 -0.0892952
2.51654 -1.35559 -0.094824
2.88243 -1.54037 0.108417
2.93564 -1.5688 0.0987884
2.9183 -1.55953 0.0866458
2.87446 -1.53611 0.0739608
2.8923 -1.54564 0.0629676
2.84839 -1.52218 0.0507349
2.82207 -1.50811 0.0390942
2.82217 -1.50817 0.027925
2.8928 -1.54591 0.017174
2.75172 -1.47052 0.00544533
2.68116 -1.43281 -0.00530561
2.74287 -1.46578 -0.0162841
2.7869 -1.48931 -0.0275758
2.73388 -1.46098 -0.0378724
2.62792 -1.40436 -0.046808
2.66304 -1.42312 -0.0579761
2.66284 -1.42302 -0.0685161
