x y z
8.72952 -5.03999 0.0175926
8.30517 -4.79499 -0.0167371
7.44772 -4.29994 -0.04503
7.59475 -4.38483 -0.0765317
7.12686 -4.11469 -0.100545
6.97064 -4.0245 -0.126444
6.62387 -3.8243 -0.14686
6.62339 -3.82402 -0.173559
6.57088 -3.7937 -0.198683
6.50964 -3.75835 -0.22309
6.44834 -3.72295 -0.247007
10.1164 -5.79605 0.142449
9.94322 -5.69684 0.100006
9.94346 -5.69698 0.0600041
10.0564 -5.76167 0.020228
9.0412 -5.18004 -0.0181857
7.75694 -4.44424 -0.0468103
7.50514 -4.29997 -0.0754845
7.38339 -4.23022 -0.103966
7.09674 -4.06598 -0.128486
6.75797 -3.87189 -0.149548
6.75748 -3.87161 -0.176735
6.67884 -3.82655 -0.201563
6.50473 -3.7268 -0.222496
6.53003 -3.7413 -0.249659
10.1703 -5.78224 0.142938
10.0403 -5.70832 0.100792
10.0405 -5.70846 0.0604754
9.57123 -5.44163 0.0192157
7.80641 -4.43826 -0.0470197
7.40571 -4.21045 -0.133827
7.02283 -3.99277 -0.155115
7.02232 -3.99247 -0.183315
6.48292 -3.68581 -0.19528
6.50836 -3.70027 -0.2222
6.47289 -3.6801 -0.247007
10.1884 -5.75026 0.142938
10.0582 -5.67675 0.100792
10.0584 -5.67688 0.0604754
9.58827 -5.41154 0.0192157
7.82031 -4.41372 -0.0470197
7.41891 -4.18716 -0.133827
7.03534 -3.97068 -0.155115
7.03483 -3.97039 -0.183315
6.49447 -3.66542 -0.19528
6.51995 -3.6798 -0.2222
6.48442 -3.65975 -0.247007
12.4698 -6.98344 0.474119
11.7473 -6.57883 0.399604
10.2855 -5.76013 0.18519
9.64909 -5.40375 0.135119
9.20448 -5.15476 0.0920652
9.20471 -5.15488 0.0552394
8.9867 -5.03279 0.0179766
7.49464 -4.1972 -0.0449777
7.10124 -3.97689 -0.127858
6.91762 -3.87405 -0.152235
6.91711 -3.87377 -0.179911
6.75953 -3.78552 -0.202871
6.6891 -3.74608 -0.227539
6.58372 -3.68706 -0.250322
12.1872 -6.77214 0.462514
11.7167 -6.51071 0.397824
10.2673 -5.70532 0.30758
10.0598 -5.59001 0.180792
8.47002 -4.70661 0.0507365
8.39146 -4.66296 0.0167549
7.42985 -4.12861 -0.0445064
6.85219 -3.80762 -0.123146
6.88673 -3.82681 -0.151276
6.88623 -3.82653 -0.178777
6.78952 -3.77279 -0.203395
6.57043 -3.65105 -0.22309
6.58718 -3.66035 -0.249991
12.2095 -6.73169 0.462514
11.7382 -6.47182 0.397824
10.2862 -5.67124 0.30758
10.0783 -5.55662 0.180792
8.48559 -4.6785 0.0507365
8.40687 -4.6351 0.0167549
7.4435 -4.10395 -0.0445064
6.86478 -3.78487 -0.123146
6.89938 -3.80395 -0.151276
6.89888 -3.80367 -0.178777
6.80199 -3.75026 -0.203395
6.5825 -3.62924 -0.22309
6.59928 -3.63849 -0.249991
11.8975 -6.51097 0.449916
11.7059 -6.40612 0.396044
10.4968 -5.74447 0.313339
10.068 -5.50979 0.260451
8.39497 -4.59421 0.0501082
8.50912 -4.65668 0.0169294
8.11427 -4.44059 -0.0484335
6.83311 -3.73947 -0.0951697
6.92926 -3.79209 -0.124088
6.81482 -3.72946 -0.149164
6.81432 -3.72919 -0.176281
6.7962 -3.71927 -0.202871
6.81308 -3.72851 -0.230506
6.58437 -3.60335 -0.248996
12.0507 -6.54302 0.454889
11.727 -6.36727 0.396044
10.9463 -5.94336 0.326165
10.1829 -5.52885 0.262946
8.32228 -4.51863 0.0495846
8.35754 -4.53777 -0.0165975
8.07622 -4.38503 -0.0481193
6.90665 -3.75001 -0.12346
6.85351 -3.72115 -0.14974
6.85301 -3.72088 -0.176962
6.65915 -3.61562 -0.198421
6.6585 -3.61527 -0.22487
6.6929 -3.63395 -0.252643
12.0724 -6.50302 0.454889
11.7481 -6.32834 0.396044
10.966 -5.90703 0.326165
10.2011 -5.49505 0.262946
8.33722 -4.49101 0.0495846
8.37254 -4.51003 -0.0165975
8.09072 -4.35822 -0.0481193
6.91905 -3.72708 -0.12346
6.86581 -3.69841 -0.14974
6.86531 -3.69813 -0.176962
6.6711 -3.59352 -0.198421
6.67045 -3.59317 -0.22487
6.70492 -3.61174 -0.252643
11.8559 -6.33577 0.445937
11.6368 -6.21868 0.391594
10.7739 -5.75755 0.319883
9.50511 -5.07952 0.24457
9.01199 -4.816 0.196198
8.64311 -4.61887 0.0513124
8.39627 -4.48696 -0.0166149
8.06984 -4.31252 -0.0479098
7.57577 -4.04848 -0.0749609
6.94901 -3.71354 -0.123774
7.01913 -3.75101 -0.152811
7.01861 -3.75074 -0.180592
6.59482 -3.52426 -0.195804
6.53246 -3.49094 -0.219826
6.55819 -3.50469 -0.246675
11.6991 -6.20483 0.439306
11.0381 -5.85426 0.370827
9.688 -5.1382 0.287162
8.99992 -4.77326 0.231184
8.36462 -4.43632 0.1818
8.3828 -4.44596 0.149063
8.48038 -4.49771 0.117283
8.48069 -4.49788 0.083775
8.12752 -4.31057 0.0481708
8.29548 -4.39965 -0.0163881
8.18937 -4.34337 -0.0485382
7.62379 -4.0434 -0.07531
7.06664 -3.74791 -0.125659
6.92488 -3.67273 -0.150508
6.92438 -3.67246 -0.17787
6.65001 -3.52695 -0.197113
6.52574 -3.46104 -0.219233
6.46322 -3.42788 -0.242696
11.7196 -6.166 0.439306
11.0575 -5.81762 0.370827
9.70499 -5.10604 0.287162
9.0157 -4.74339 0.231184
8.37929 -4.40856 0.1818
8.3975 -4.41814 0.149063
8.49525 -4.46957 0.117283
8.49556 -4.46973 0.083775
8.14178 -4.2836 0.0481708
8.31002 -4.37211 -0.0163881
8.20372 -4.31619 -0.0485382
7.63715 -4.0181 -0.07531
7.07903 -3.72446 -0.125659
6.93702 -3.64975 -0.150508
6.93652 -3.64948 -0.17787
6.66167 -3.50488 -0.197113
6.53718 -3.43938 -0.219233
6.47455 -3.40642 -0.242696
11.4388 -5.96988 0.428033
9.77409 -5.10108 0.327218
9.1281 -4.76394 0.269623
8.82753 -4.60708 0.225966
8.775 -4.57966 0.190055
8.7578 -4.57069 0.155189
8.56321 -4.46913 0.118016
8.56352 -4.46929 0.0842986
6.74638 -3.52093 0.0398457
7.94327 -4.14558 -0.0156376
7.80133 -4.0715 -0.0460772
7.07421 -3.69202 -0.0696377
7.23352 -3.77516 -0.0996899
7.38386 -3.85363 -0.130842
6.9225 -3.61284 -0.149932
6.92199 -3.61258 -0.177189
6.90368 -3.60302 -0.203919
6.71692 -3.50555 -0.22487
6.51239 -3.39881 -0.243691
11.1834 -5.78947 0.417755
9.09857 -4.71021 0.304079
8.85089 -4.58199 0.260985
8.7451 -4.52722 0.22347
8.57704 -4.44022 0.185447
8.56869 -4.43589 0.151576
8.36487 -4.33038 0.115084
8.36517 -4.33054 0.0822042
6.78466 -3.51233 0.0400027
7.26429 -3.76063 -0.0142763
7.32636 -3.79276 -0.0431974
7.25514 -3.75589 -0.0712957
7.74327 -4.00859 -0.106531
7.62746 -3.94864 -0.134926
7.52045 -3.89324 -0.162602
