x y z
4.62203 -2.66853 0.177049
4.69179 -2.70881 0.160791
4.69225 -2.70907 0.141879
4.67533 -2.69931 0.122512
4.68433 -2.7045 0.103858
4.72792 -2.72966 0.0857624
4.71083 -2.7198 0.0664601
4.73698 -2.7349 0.0477343
4.73709 -2.73496 0.0286407
4.61591 -2.665 0.00930244
4.77179 -2.755 -0.00961642
4.74575 -2.73996 -0.0286935
4.80626 -2.77489 -0.0484322
4.83206 -2.78979 -0.0681703
4.78853 -2.76466 -0.0868618
4.76226 -2.74949 -0.105586
4.76191 -2.74929 -0.124781
4.76151 -2.74906 -0.143973
4.7697 -2.75379 -0.163461
4.78649 -2.76348 -0.183349
4.69156 -2.68797 0.179369
4.71809 -2.70317 0.161384
4.78795 -2.74319 0.144497
4.81438 -2.75834 0.125915
4.65858 -2.66907 0.10309
4.789 -2.74379 0.0867048
4.71982 -2.70416 0.0664601
4.72867 -2.70923 0.0475598
4.72878 -2.7093 0.028536
4.73752 -2.7143 0.00952933
4.79826 -2.7491 -0.00965133
4.77217 -2.73415 -0.0287983
4.80676 -2.75397 -0.048345
4.69379 -2.68925 -0.0660935
4.73694 -2.71397 -0.0857622
4.74533 -2.71877 -0.10501
4.74498 -2.71858 -0.1241
4.83999 -2.77301 -0.146067
4.77013 -2.73299 -0.163164
4.69156 -2.68797 -0.17937
4.75258 -2.70204 0.181359
4.71834 -2.68257 0.161087
4.78833 -2.72236 0.144235
4.75397 -2.70283 0.1241
4.78039 -2.71785 0.105586
4.67638 -2.65871 0.0845058
4.82438 -2.74286 0.067804
4.78978 -2.72319 0.0480834
4.7899 -2.72325 0.0288502
4.7378 -2.69363 0.00951188
4.78996 -2.72329 -0.00961642
4.78121 -2.71831 -0.0287983
4.81586 -2.73801 -0.048345
4.73745 -2.69344 -0.0665821
4.82414 -2.74272 -0.0871759
4.73693 -2.69314 -0.104626
4.73659 -2.69294 -0.123647
4.71011 -2.67789 -0.141879
4.35339 -2.47508 -0.148628
4.71783 -2.68228 -0.180033
4.76104 -2.68709 0.181359
4.72675 -2.66773 0.161087
4.79685 -2.7073 0.144235
4.76244 -2.68788 0.1241
4.78891 -2.70282 0.105586
4.68471 -2.64401 0.0845058
4.83297 -2.72769 0.067804
4.79832 -2.70813 0.0480834
4.79843 -2.70819 0.0288502
4.74624 -2.67874 0.00951188
4.79849 -2.70823 -0.00961642
4.78972 -2.70328 -0.0287983
4.82444 -2.72287 -0.048345
4.74589 -2.67854 -0.0665821
4.83274 -2.72755 -0.0871759
4.74537 -2.67825 -0.104626
4.74502 -2.67805 -0.123647
4.7185 -2.66308 -0.141879
4.36114 -2.46139 -0.148628
4.72623 -2.66744 -0.180033
4.61297 -2.58339 0.175391
4.58731 -2.56902 0.156044
4.61392 -2.58392 0.138476
4.59687 -2.57437 0.119562
4.79784 -2.68692 0.105586
4.65855 -2.60892 0.0838775
4.75475 -2.66279 0.0665823
4.63278 -2.59448 0.046338
4.63289 -2.59454 0.027803
4.78127 -2.67764 0.00956424
4.8249 -2.70207 -0.00965133
4.76376 -2.66784 -0.0285888
4.73747 -2.65311 -0.0473851
4.74602 -2.6579 -0.06646
4.76324 -2.66754 -0.0857622
4.58776 -2.56927 -0.137691
4.63964 -2.59832 -0.157824
4.76993 -2.67129 -0.181359
4.73508 -2.63118 0.179701
4.58707 -2.54894 0.155748
4.63994 -2.57832 0.139
4.64034 -2.57854 0.12047
4.65816 -2.58844 0.102322
4.6934 -2.60802 0.0843487
4.69363 -2.60815 0.0656049
4.6938 -2.60825 0.0468616
4.67643 -2.59859 0.0280124
4.74642 -2.63748 0.00947697
4.65901 -2.58891 -0.00930227
4.85125 -2.69574 -0.0290601
4.71128 -2.61796 -0.047036
4.76355 -2.64701 -0.0665821
4.72836 -2.62745 -0.0849769
4.54382 -2.52491 -0.13612
4.73508 -2.63118 -0.179701
4.74378 -2.61547 0.179701
4.59549 -2.53371 0.155748
4.64847 -2.56292 0.139
4.64886 -2.56314 0.12047
4.66671 -2.57298 0.102322
4.70202 -2.59244 0.0843487
4.70225 -2.59257 0.0656049
4.70242 -2.59267 0.0468616
4.68502 -2.58307 0.0280124
4.75514 -2.62173 0.00947697
4.66757 -2.57345 -0.00930227
4.86017 -2.67964 -0.0290601
4.71994 -2.60232 -0.047036
4.7723 -2.63119 -0.0665821
4.73705 -2.61176 -0.0849769
4.55217 -2.50982 -0.13612
4.74378 -2.61547 -0.179701
4.72567 -2.58616 0.178706
4.54205 -2.48567 0.153671
4.5688 -2.50031 0.136382
4.75336 -2.60131 0.122965
4.70986 -2.5775 0.10309
4.67506 -2.55846 0.0837204
4.7016 -2.57299 0.0654828
4.70177 -2.57308 0.0467744
4.71066 -2.57794 0.0281171
4.74581 -2.59718 0.00944206
4.66686 -2.55397 -0.00928482
4.67557 -2.55874 -0.0279081
4.62283 -2.52987 -0.0459888
4.68406 -2.56338 -0.0652383
4.63997 -2.53926 -0.083092
4.5688 -2.50031 -0.136382
4.71742 -2.58164 -0.159604
4.82211 -2.63894 -0.182354
4.70839 -2.55645 0.159011
4.44529 -2.4136 0.132456
4.6741 -2.53783 0.120697
4.63051 -2.51416 0.10117
4.68352 -2.54294 0.0837204
4.7892 -2.60032 0.0665823
4.78937 -2.60042 0.0475598
4.74555 -2.57662 0.0282742
4.78076 -2.59574 0.00949442
4.78076 -2.59574 -0.00949425
4.49948 -2.44302 -0.0268086
4.58725 -2.49067 -0.0455525
4.5783 -2.48581 -0.0636501
4.71867 -2.56203 -0.0843486
4.7008 -2.55233 -0.102706
4.70046 -2.55214 -0.121378
4.70006 -2.55192 -0.140047
4.66446 -2.5326 -0.157527
4.65517 -2.52755 -0.175723
4.71684 -2.54082 0.159011
4.45327 -2.39884 0.132456
4.68249 -2.52232 0.120697
4.63882 -2.49879 0.10117
4.69192 -2.5274 0.0837204
4.79779 -2.58443 0.0665823
4.79797 -2.58452 0.0475598
4.75407 -2.56087 0.0282742
4.78934 -2.57987 0.00949442
4.78934 -2.57987 -0.00949425
4.50756 -2.42809 -0.0268086
4.59548 -2.47545 -0.0455525
4.58651 -2.47062 -0.0636501
4.72714 -2.54636 -0.0843486
4.70924 -2.53673 -0.102706
4.7089 -2.53654 -0.121378
4.7085 -2.53632 -0.140047
4.67284 -2.51712 -0.157527
4.66353 -2.5121 -0.175723
4.65471 -2.48747 0.156638
4.64635 -2.483 0.137953
4.76137 -2.54447 0.122512
4.58536 -2.45041 0.0998266
4.63855 -2.47884 0.0826209
4.6567 -2.48853 0.0276459
4.63911 -2.47914 0.00918027
4.6303 -2.47443 -0.00916265
4.6126 -2.46497 -0.0273845
4.63013 -2.47433 -0.0458143
4.62114 -2.46953 -0.0640166
4.63855 -2.47884 -0.0826208
4.6559 -2.48811 -0.101362
4.65556 -2.48793 -0.11979
4.63753 -2.47829 -0.137691
4.65471 -2.48747 -0.156637
4.67183 -2.49662 -0.175723
4.68016 -2.4822 0.157231
4.68062 -2.48245 0.138738
4.70752 -2.49671 0.120924
4.61953 -2.45005 0.100403
4.66398 -2.47362 0.0829351
4.57615 -2.42704 0.0271223
4.64688 -2.46455 0.00918027
4.67338 -2.47861 -0.00923246
4.7175 -2.50201 -0.0279605
4.65554 -2.46915 -0.0459888
4.67304 -2.47843 -0.0646274
4.66398 -2.47362 -0.0829349
4.6637 -2.47347 -0.101362
4.66336 -2.47329 -0.11979
4.71595 -2.50118 -0.139785
4.58303 -2.43069 -0.153967
4.55604 -2.41637 -0.171081
4.68837 -2.46667 0.157231
4.68883 -2.46691 0.138738
4.71577 -2.48109 0.120924
4.62763 -2.43472 0.100403
4.67216 -2.45814 0.0829351
4.58417 -2.41185 0.0271223
4.65503 -2.44913 0.00918027
4.68158 -2.4631 -0.00923246
4.72577 -2.48635 -0.0279605
4.66371 -2.4537 -0.0459888
4.68124 -2.46292 -0.0646274
4.67216 -2.45814 -0.0829349
4.67187 -2.45799 -0.101362
4.67153 -2.45781 -0.11979
4.72422 -2.48553 -0.139785
4.59106 -2.41548 -0.153967
4.56403 -2.40125 -0.171081
4.58968 -2.39535 0.171744
4.69652 -2.45111 0.157231
4.68812 -2.44672 0.138476
4.67966 -2.44231 0.119789
4.67114 -2.43786 0.10117
4.79552 -2.50277 0.084977
4.62732 -2.41499 0.0637724
4.62749 -2.41508 0.0455526
4.60988 -2.40589 0.027227
4.76951 -2.4892 0.00938971
4.71632 -2.46144 -0.00928482
4.81377 -2.5123 -0.0284317
4.63636 -2.41971 -0.0456397
4.7337 -2.47051 -0.0652383
4.70688 -2.45651 -0.0834061
4.69773 -2.45174 -0.101746
4.69738 -2.45156 -0.120243
4.65267 -2.42822 -0.137429
4.69652 -2.45111 -0.157231
4.63399 -2.41847 -0.173402
4.64198 -2.40309 0.173401
4.68687 -2.42633 0.156638
4.62519 -2.3944 0.136382
4.6611 -2.41299 0.119109
4.69695 -2.43155 0.101554
4.715 -2.44089 0.0834063
4.65307 -2.40883 0.0640167
4.65324 -2.40892 0.0457272
4.75992 -2.46415 0.0280648
4.76885 -2.46877 0.00937225
4.78662 -2.47797 -0.00940699
4.54679 -2.35381 -0.0268086
4.74204 -2.45489 -0.0465997
4.71523 -2.44101 -0.0648718
4.76827 -2.46847 -0.0843486
4.67919 -2.42236 -0.10117
4.67885 -2.42218 -0.119563
4.68733 -2.42657 -0.138214
4.50046 -2.32983 -0.150407
4.70411 -2.43526 -0.175723
4.64951 -2.3885 0.173401
4.69447 -2.4116 0.156638
4.63269 -2.37986 0.136382
4.66865 -2.39833 0.119109
4.70457 -2.41678 0.101554
4.72264 -2.42607 0.0834063
4.66061 -2.3942 0.0640167
4.66078 -2.39429 0.0457272
4.76763 -2.44918 0.0280648
4.77659 -2.45378 0.00937225
4.79438 -2.46292 -0.00940699
4.55416 -2.33951 -0.0268086
4.74973 -2.43998 -0.0465997
4.72287 -2.42618 -0.0648718
4.77601 -2.45348 -0.0843486
4.68678 -2.40764 -0.10117
4.68644 -2.40747 -0.119563
4.69493 -2.41183 -0.138214
4.50776 -2.31568 -0.150407
4.71174 -2.42046 -0.175723
4.72864 -2.40936 0.176054
4.80041 -2.44593 0.159901
4.72072 -2.40533 0.138738
4.78347 -2.4373 0.121831
4.73928 -2.41478 0.10213
4.77521 -2.43309 0.0841917
4.72198 -2.40597 0.0647498
4.72216 -2.40606 0.0462508
4.88265 -2.48783 0.0286931
4.82034 -2.45608 0.00944206
4.67778 -2.38345 -0.00916265
4.68663 -2.38796 -0.0275416
4.79343 -2.44238 -0.0469487
4.74871 -2.41959 -0.0651161
4.8732 -2.48302 -0.0859193
4.72146 -2.40571 -0.101746
4.72112 -2.40553 -0.120243
4.71181 -2.40079 -0.138476
4.74697 -2.4187 -0.158121
4.70193 -2.39575 -0.17506
4.88825 -2.4703 0.18169
4.79957 -2.42549 0.159604
4.85358 -2.45278 0.142403
4.57738 -2.31321 0.116386
4.9712 -2.51222 0.0291643
4.94448 -2.49872 0.00966895
4.77473 -2.41294 -0.0466869
4.60499 -2.32716 -0.0630392
4.70293 -2.37665 -0.0827778
4.61341 -2.33141 -0.0992506
4.63092 -2.34026 -0.117748
4.63052 -2.34006 -0.135858
4.59439 -2.3218 -0.152781
4.80797 -2.42973 -0.178707
4.91429 -2.46304 0.182353
4.86121 -2.43643 0.161384
4.90637 -2.45907 0.143712
5.0051 -2.50855 0.127049
4.99653 -2.50426 0.107314
4.9795 -2.49572 0.0291643
4.95274 -2.48231 0.00966895
4.78271 -2.39709 -0.0466869
4.61268 -2.31187 -0.0630392
4.71079 -2.36104 -0.0827778
4.62112 -2.3161 -0.0992506
4.63866 -2.32489 -0.117748
4.63826 -2.32469 -0.135858
4.78972 -2.4006 -0.159011
4.86067 -2.43617 -0.180365
4.922 -2.44759 0.182353
4.86884 -2.42115 0.161384
4.91407 -2.44364 0.143712
5.01296 -2.49282 0.127049
5.00437 -2.48855 0.107314
4.93329 -2.4532 0.0673153
4.93347 -2.45329 0.0480834
4.97836 -2.47561 0.0291119
4.95156 -2.46229 0.0096515
4.95156 -2.46229 -0.00965133
4.91568 -2.44445 -0.0287459
4.82603 -2.39986 -0.047036
4.84376 -2.40868 -0.0660935
4.86143 -2.41747 -0.085291
4.81637 -2.39506 -0.103282
4.7265 -2.35037 -0.11979
4.7261 -2.35017 -0.138214
4.79724 -2.38555 -0.159011
4.8683 -2.42089 -0.180365
5.01973 -2.47545 0.185669
5.01131 -2.47131 0.165834
5.02077 -2.47597 0.146591
5.02119 -2.47618 0.127049
4.97673 -2.45425 0.106546
5.0129 -2.47209 0.0878044
4.89656 -2.41472 0.0667045
4.89674 -2.4148 0.047647
4.95964 -2.44582 0.0289549
4.95073 -2.44143 0.00963405
4.89692 -2.41489 -0.00952916
4.99551 -2.46351 -0.0291648
4.94158 -2.43692 -0.0480832
5.00418 -2.46779 -0.0681703
4.96806 -2.44998 -0.0870188
4.95879 -2.44541 -0.106162
4.85083 -2.39217 -0.122739
4.85042 -2.39196 -0.141617
4.89477 -2.41383 -0.161977
4.96594 -2.44893 -0.18368
5.19059 -2.53835 0.151303
5.06598 -2.47741 0.0885897
5.00335 -2.44679 0.0680483
5.00353 -2.44688 0.0486069
4.95874 -2.42497 0.0289025
5.00372 -2.44696 0.00972131
5.0127 -2.45136 -0.00973859
5.00365 -2.44693 -0.0291648
5.12031 -2.50398 -0.0497412
5.03928 -2.46436 -0.0685368
4.97616 -2.43349 -0.0870188
5.0028 -2.44652 -0.10693
4.91262 -2.40242 -0.1241
4.91221 -2.40221 -0.143188
4.88479 -2.38881 -0.161384
4.98302 -2.43684 -0.184012
5.19898 -2.52113 0.151303
5.07417 -2.4606 0.0885897
5.07442 -2.46072 0.0689035
5.01162 -2.43027 0.0486069
4.96675 -2.40851 0.0289025
5.0118 -2.43036 0.00972131
5.0208 -2.43472 -0.00973859
5.01174 -2.43033 -0.0291648
5.12859 -2.48699 -0.0497412
5.04742 -2.44763 -0.0685368
4.9842 -2.41697 -0.0870188
5.01089 -2.42991 -0.10693
4.92056 -2.38611 -0.1241
4.92014 -2.38591 -0.143188
4.89268 -2.37259 -0.161384
4.99107 -2.4203 -0.184012
6.54914 -3.15048 0.190307
5.27109 -2.53567 0.0918883
5.27135 -2.5358 0.0714691
5.08231 -2.44486 -0.0492176
4.96498 -2.38842 -0.0673151
5.00078 -2.40564 -0.0871759
5.00949 -2.40983 -0.106738
5.01813 -2.41398 -0.126369
5.0177 -2.41378 -0.145806
4.91813 -2.36588 -0.161977
4.89958 -2.35695 -0.180365
8.30996 -3.96365 0.24109
7.25589 -3.46088 0.126287
7.25624 -3.46105 0.0982242
5.17162 -2.46673 -0.050003
5.15338 -2.45803 -0.0697585
9.88441 -4.67445 0.362717
9.09032 -4.29891 0.298442
8.26884 -3.91043 0.239519
8.25147 -3.90221 0.207136
8.24303 -3.89822 0.175081
8.05372 -3.80869 0.139953
8.05411 -3.80888 0.108853
6.76172 -3.1977 -0.0652744
6.49029 -3.06933 -0.0877174
9.89986 -4.64165 0.362717
9.10452 -4.26875 0.298442
8.28176 -3.88299 0.239519
8.26436 -3.87483 0.207136
8.25591 -3.87087 0.175081
8.0663 -3.78197 0.139953
8.0667 -3.78215 0.108853
6.77229 -3.17526 -0.0652744
6.50043 -3.04779 -0.0877174
10.15 -4.7201 0.371338
9.03632 -4.20219 0.295772
8.3755 -3.89489 0.241875
8.28556 -3.85306 0.207362
8.34056 -3.87864 0.176616
8.22321 -3.82407 0.142466
8.22361 -3.82425 0.110808
8.04257 -3.74006 0.0774046
8.1153 -3.77389 0.0468619
8.13353 -3.78236 0.0156553
7.89778 -3.67273 -0.0152013
8.04276 -3.74015 -0.0464438
7.96096 -3.70211 -0.0766189
7.8972 -3.67246 -0.106409
9.80255 -4.51904 0.358076
9.02297 -4.15965 0.294882
8.51546 -3.92568 0.24554
8.28921 -3.82138 0.207136
8.1627 -3.76306 0.172585
8.10872 -3.73817 0.140267
8.10911 -3.73835 0.109097
7.93687 -3.65895 0.0762701
8.13685 -3.75114 0.0469142
7.919 -3.65071 0.015219
7.90991 -3.64652 -0.0152013
7.96431 -3.6716 -0.0459202
7.95503 -3.66732 -0.0764444
7.82761 -3.60858 -0.10531
7.92711 -3.65445 -0.137125
7.76319 -3.57888 -0.164138
7.83526 -3.6121 -0.195793
7.83459 -3.6118 -0.225907
7.37995 -3.40221 -0.241186
7.52437 -3.46878 -0.274857
10.172 -4.64852 0.371006
9.21854 -4.21279 0.300815
8.46479 -3.86834 0.243708
8.33821 -3.81049 0.208043
8.2297 -3.7609 0.173737
8.15745 -3.72788 0.140895
8.15784 -3.72807 0.109586
8.11267 -3.70742 0.0778409
7.97644 -3.64516 0.0459194
7.99473 -3.65352 0.0153412
7.81282 -3.57039 -0.0149918
8.02191 -3.66595 -0.046182
7.83982 -3.58273 -0.0752227
7.94867 -3.63247 -0.106776
7.83915 -3.58243 -0.135398
7.83867 -3.58221 -0.165482
7.72899 -3.53208 -0.192843
7.72833 -3.53178 -0.222504
7.72757 -3.53144 -0.252162
7.66309 -3.50197 -0.279499
10.1874 -4.61476 0.371006
9.23246 -4.1822 0.300815
8.47757 -3.84025 0.243708
8.3508 -3.78282 0.208043
8.24212 -3.73359 0.173737
8.16976 -3.70081 0.140895
8.17016 -3.70099 0.109586
8.12492 -3.6805 0.0778409
7.98848 -3.61869 0.0459194
8.0068 -3.62699 0.0153412
7.82462 -3.54446 -0.0149918
8.03403 -3.63932 -0.046182
7.85166 -3.55671 -0.0752227
7.96067 -3.6061 -0.106776
7.85099 -3.55641 -0.135398
7.85051 -3.55619 -0.165482
7.74066 -3.50643 -0.192843
7.74 -3.50613 -0.222504
7.73924 -3.50579 -0.252162
7.67466 -3.47654 -0.279499
10.2839 -4.61959 0.37399
10.1938 -4.57914 0.331668
9.00025 -4.04298 0.258367
8.5268 -3.83031 0.212127
8.53654 -3.83468 0.179688
8.19959 -3.68332 0.14121
8.19999 -3.6835 0.10983
8.25502 -3.70822 0.0789754
7.97245 -3.58129 0.0457623
8.07288 -3.6264 0.0154459
8.01815 -3.60182 -0.0153409
7.94508 -3.56899 -0.045606
7.92664 -3.56071 -0.0758335
7.88987 -3.54419 -0.105676
7.94421 -3.5686 -0.136811
7.76132 -3.48645 -0.16337
7.76075 -3.48619 -0.19307
7.76009 -3.4859 -0.222766
7.73198 -3.47327 -0.251569
7.49409 -3.36641 -0.272536
10.1804 -4.53262 0.36968
10.0628 -4.48027 0.326922
8.7853 -3.91147 0.251823
8.57598 -3.81827 0.213034
