x y z
4.03346 -2.32872 0.154503
4.01659 -2.31898 0.137651
3.95638 -2.28422 0.119629
3.95672 -2.28441 0.103681
3.8964 -2.24959 0.0863884
4.00054 -2.30972 0.0725682
3.95744 -2.28483 0.0558314
3.96625 -2.28991 0.0399677
3.96634 -2.28997 0.0239807
3.87113 -2.235 0.00780148
3.75854 -2.17 -0.00757446
3.73252 -2.15497 -0.0225674
3.69779 -2.13492 -0.0372623
3.66301 -2.11484 -0.0516775
3.6282 -2.09474 -0.0658139
3.58468 -2.06962 -0.0794772
3.58442 -2.06947 -0.093926
3.54949 -2.0493 -0.107326
3.50586 -2.02411 -0.120148
3.48816 -2.01389 -0.133616
4.09319 -2.34514 0.156492
4.09364 -2.3454 0.140024
4.11139 -2.35557 0.124079
3.98162 -2.28122 0.104135
3.89516 -2.23168 0.0861965
3.97348 -2.27655 0.0719399
3.89559 -2.23193 0.054854
3.85235 -2.20715 0.0387459
3.85244 -2.20721 0.0232477
3.85249 -2.20723 0.00774913
3.58351 -2.05312 -0.00720795
3.59214 -2.05807 -0.0216772
3.67014 -2.10276 -0.0369132
3.6006 -2.06292 -0.0507002
3.5744 -2.0479 -0.0647144
3.5655 -2.04281 -0.0789013
3.56524 -2.04266 -0.0932454
3.60831 -2.06733 -0.108896
3.41715 -1.95781 -0.116885
3.50349 -2.00728 -0.133947
4.08357 -2.32168 0.155829
4.0145 -2.28241 0.137058
3.98882 -2.26781 0.120152
3.96309 -2.25318 0.103454
3.89385 -2.21381 0.0860045
3.91147 -2.22383 0.0706833
3.88558 -2.20911 0.0546097
3.80749 -2.16471 0.0382223
3.80758 -2.16476 0.0229335
3.70331 -2.10548 0.00743497
3.69461 -2.10054 -0.00741738
3.62503 -2.06097 -0.0218343
3.71187 -2.11035 -0.0372623
3.65957 -2.08062 -0.0514332
3.6594 -2.08052 -0.066128
3.4245 -1.94697 -0.0756378
3.42425 -1.94683 -0.0893885
3.37182 -1.91701 -0.101567
3.34542 -1.90201 -0.114215
3.34505 -1.9018 -0.127648
4.09084 -2.30884 0.155829
4.02165 -2.26979 0.137058
3.99593 -2.25527 0.120152
3.97015 -2.24072 0.103454
3.90078 -2.20157 0.0860045
3.91844 -2.21153 0.0706833
3.8925 -2.19689 0.0546097
3.81427 -2.15274 0.0382223
3.81436 -2.15279 0.0229335
3.7099 -2.09384 0.00743497
3.7012 -2.08892 -0.00741738
3.63148 -2.04958 -0.0218343
3.71848 -2.09868 -0.0372623
3.66609 -2.06911 -0.0514332
3.66591 -2.06901 -0.066128
3.4306 -1.9362 -0.0756378
3.43035 -1.93606 -0.0893885
3.37782 -1.90641 -0.101567
3.35138 -1.89149 -0.114215
3.35101 -1.89128 -0.127648
4.00256 -2.24154 0.152182
3.97683 -2.22713 0.135278
4.08188 -2.28596 0.122508
3.995 -2.23731 0.103908
3.97785 -2.2277 0.0875403
4.00426 -2.24249 0.072097
3.88232 -2.1742 0.0543654
3.83011 -2.14497 0.0383096
3.8302 -2.14502 0.0229859
3.85643 -2.1597 0.00771422
3.64703 -2.04243 -0.00729522
3.59463 -2.01309 -0.0215725
3.77776 -2.11565 -0.0377859
3.48972 -1.95434 -0.0488676
3.52445 -1.97379 -0.0634578
3.45445 -1.93458 -0.0760217
3.4542 -1.93444 -0.0898423
3.47134 -1.94405 -0.104184
3.33147 -1.86571 -0.113325
3.40958 -1.90946 -0.129637
4.00997 -2.22825 0.152182
3.97546 -2.20908 0.134981
3.88846 -2.16074 0.116488
3.95871 -2.19977 0.102774
3.98521 -2.2145 0.0875403
3.93302 -2.18549 0.0706833
3.86328 -2.14675 0.0539989
3.86343 -2.14682 0.0385714
3.80233 -2.11288 0.0227764
3.89853 -2.16633 0.00778403
3.67126 -2.04004 -0.00733012
3.86352 -2.14688 -0.0231433
3.6012 -2.00111 -0.0359533
3.53115 -1.96218 -0.0493563
3.50475 -1.94752 -0.0629866
3.46958 -1.92797 -0.0762137
3.46933 -1.92783 -0.0900691
3.4166 -1.89854 -0.102352
3.39006 -1.88378 -0.115105
3.32853 -1.8496 -0.126321
4.01733 -2.21494 0.152182
3.98276 -2.19588 0.134981
3.89561 -2.14783 0.116488
3.96598 -2.18663 0.102774
3.99254 -2.20127 0.0875403
3.94024 -2.17244 0.0706833
3.87038 -2.13392 0.0539989
3.87052 -2.134 0.0385714
3.80932 -2.10026 0.0227764
3.90569 -2.15339 0.00778403
3.67801 -2.02786 -0.00733012
3.87062 -2.13405 -0.0231433
3.60782 -1.98916 -0.0359533
3.53763 -1.95046 -0.0493563
3.51119 -1.93589 -0.0629866
3.47596 -1.91646 -0.0762137
3.4757 -1.91632 -0.0900691
3.42288 -1.88719 -0.102352
3.39629 -1.87253 -0.115105
3.33465 -1.83855 -0.126321
3.9892 -2.18312 0.150856
3.98964 -2.18336 0.134981
3.91987 -2.14518 0.117011
4.03422 -2.20776 0.104362
4.04328 -2.21272 0.0885002
3.90319 -2.13605 0.0698979
3.8683 -2.11695 0.0538767
3.86844 -2.11703 0.0384841
3.82467 -2.09308 0.0228288
3.71945 -2.0355 0.00740007
3.59664 -1.96829 -0.00715559
3.57905 -1.95866 -0.0213631
3.57019 -1.95381 -0.035517
3.51743 -1.92494 -0.0489898
3.39446 -1.85764 -0.0607875
3.42057 -1.87193 -0.0748699
3.42032 -1.87179 -0.088481
3.43756 -1.88123 -0.102614
3.37585 -1.84746 -0.114215
3.34041 -1.82806 -0.126321
4.08425 -2.21757 0.154172
4.06713 -2.20827 0.137355
4.03239 -2.18941 0.120152
3.95366 -2.14666 0.102093
3.86608 -2.09911 0.0844687
3.95419 -2.14695 0.0706833
3.76984 -2.04686 0.0524107
3.76998 -2.04693 0.0374369
3.70856 -2.01358 0.0220958
3.74376 -2.03269 0.00743497
3.62072 -1.96589 -0.0071905
3.62068 -1.96587 -0.0215725
3.55907 -1.93242 -0.0353424
3.54137 -1.92281 -0.0492341
3.49726 -1.89886 -0.0625153
3.45311 -1.87489 -0.0754458
3.45286 -1.87475 -0.0891616
3.42621 -1.86028 -0.10209
3.39074 -1.84102 -0.114511
3.2674 -1.77405 -0.123338
4.09158 -2.20401 0.154172
4.07443 -2.19477 0.137355
4.03963 -2.17602 0.120152
3.96076 -2.13354 0.102093
3.87302 -2.08628 0.0844687
3.96129 -2.13383 0.0706833
3.77661 -2.03435 0.0524107
3.77675 -2.03442 0.0374369
3.71521 -2.00127 0.0220958
3.75048 -2.02027 0.00743497
3.62722 -1.95387 -0.0071905
3.62718 -1.95385 -0.0215725
3.56546 -1.92061 -0.0353424
3.54773 -1.91105 -0.0492341
3.50354 -1.88725 -0.0625153
3.45931 -1.86343 -0.0754458
3.45906 -1.86329 -0.0891616
3.43236 -1.84891 -0.10209
3.39683 -1.82977 -0.114511
3.27327 -1.76321 -0.123338
4.09006 -2.18572 0.15384
4.09932 -2.19067 0.137948
3.95865 -2.1155 0.117535
4.0648 -2.17223 0.104589
4.01219 -2.14411 0.0873483
3.93307 -2.10183 0.070055
3.74806 -2.00296 0.051922
3.7482 -2.00303 0.0370879
3.66891 -1.96066 0.0217816
3.62486 -1.93712 0.00717318
3.6425 -1.94655 -0.00720795
3.56308 -1.90411 -0.0211536
3.50126 -1.87107 -0.0346443
