x y z
2.93421 -1.69407 0.112396
2.87394 -1.65927 0.0984918
2.91751 -1.68442 0.0882165
2.9091 -1.67957 0.0762295
2.96992 -1.71468 0.0658472
2.77094 -1.5998 0.0502637
2.83169 -1.63488 0.0399494
2.76252 -1.59494 0.0278377
2.76258 -1.59498 0.0167027
2.79726 -1.615 0.00563731
2.69333 -1.555 -0.00542778
2.67598 -1.54498 -0.0161794
2.71056 -1.56494 -0.027314
2.6585 -1.53489 -0.0375059
2.62373 -1.51481 -0.0475933
2.57096 -1.48435 -0.0881085
2.48413 -1.43421 -0.0951556
2.98317 -1.70917 0.114054
2.8881 -1.6547 0.0987884
2.86236 -1.63995 0.0863841
2.83658 -1.62518 0.0741876
2.88016 -1.65015 0.0637355
2.82828 -1.62043 0.0512061
2.8371 -1.62548 0.0399494
2.75911 -1.5808 0.0277505
2.75918 -1.58084 0.0166504
2.79392 -1.60074 0.00561986
2.75921 -1.58086 -0.00554995
2.72447 -1.56095 -0.0164412
2.64632 -1.51617 -0.0266159
2.66357 -1.52606 -0.0375059
2.61139 -1.49616 -0.0472792
2.64551 -1.51571 -0.0798397
2.5672 -1.47084 -0.0878119
2.50621 -1.4359 -0.0958187
2.92801 -1.66469 0.111733
2.84143 -1.61547 0.0970085
2.91123 -1.65515 0.0876929
2.82457 -1.60588 0.0737339
2.83347 -1.61094 0.0625836
2.78149 -1.58139 0.0502637
2.79901 -1.59135 0.0393385
2.79911 -1.59141 0.0280995
2.79918 -1.59145 0.0168598
2.79921 -1.59147 0.00561986
2.77313 -1.57664 -0.0055674
2.66878 -1.51731 -0.0160747
2.6948 -1.5321 -0.0270522
2.68601 -1.5271 -0.0377502
2.6598 -1.5122 -0.0480645
2.60749 -1.48246 -0.0575922
2.6073 -1.48235 -0.0680623
2.63314 -1.49705 -0.0793162
2.5373 -1.44256 -0.0866252
2.45883 -1.39795 -0.0938293
2.93322 -1.65548 0.111733
2.84649 -1.60654 0.0970085
2.91642 -1.646 0.0876929
2.8296 -1.597 0.0737339
2.83852 -1.60203 0.0625836
2.78644 -1.57264 0.0502637
2.80399 -1.58255 0.0393385
2.8041 -1.58261 0.0280995
2.80417 -1.58265 0.0168598
2.8042 -1.58267 0.00561986
2.77807 -1.56792 -0.0055674
2.67354 -1.50892 -0.0160747
2.6996 -1.52363 -0.0270522
2.69079 -1.51866 -0.0377502
2.66454 -1.50384 -0.0480645
2.61213 -1.47426 -0.0575922
2.61194 -1.47416 -0.0680623
2.63783 -1.48877 -0.0793162
2.54182 -1.43458 -0.0866252
2.46321 -1.39021 -0.0938293
2.97358 -1.66528 0.113059
2.86925 -1.60686 0.0976018
2.86953 -1.60701 0.0861223
2.8785 -1.61204 0.0748683
2.86998 -1.60727 0.0631596
2.80909 -1.57317 0.0505778
2.79178 -1.56347 0.0390942
2.73953 -1.53421 0.0274014
2.7396 -1.53425 0.0164409
2.73963 -1.53427 0.00548024
2.68728 -1.50495 -0.00537542
2.68725 -1.50493 -0.016127
2.72208 -1.52444 -0.0272268
2.64347 -1.48041 -0.0370172
2.66951 -1.495 -0.0480645
2.63445 -1.47536 -0.0579761
2.63426 -1.47526 -0.0685161
2.64276 -1.48002 -0.0793162
2.59889 -1.45545 -0.0884052
2.58117 -1.44552 -0.0981395
2.88298 -1.60201 0.109412
2.90951 -1.61675 0.0987884
2.87484 -1.59749 0.0861223
2.85761 -1.58791 0.0741876
2.85782 -1.58803 0.0627756
2.83177 -1.57356 0.050892
2.79695 -1.5542 0.0390942
2.79705 -1.55426 0.027925
2.7709 -1.53973 0.016598
2.79715 -1.55432 0.00558496
2.73597 -1.52032 -0.00546269
2.77964 -1.54459 -0.0166506
2.73586 -1.52026 -0.027314
2.70954 -1.50564 -0.0378724
2.68319 -1.49099 -0.0482216
2.66555 -1.48119 -0.0585521
2.66535 -1.48108 -0.0691967
2.59522 -1.44211 -0.0777456
2.62118 -1.45653 -0.0889985
2.50732 -1.39327 -0.0951556
2.88828 -1.59244 0.109412
2.91486 -1.6071 0.0987884
2.88012 -1.58795 0.0861223
2.86286 -1.57843 0.0741876
2.86307 -1.57854 0.0627756
2.83697 -1.56416 0.050892
2.80209 -1.54492 0.0390942
2.80219 -1.54498 0.027925
2.77599 -1.53053 0.016598
2.80229 -1.54503 0.00558496
2.74099 -1.51124 -0.00546269
2.78474 -1.53536 -0.0166506
2.74089 -1.51118 -0.027314
2.71452 -1.49664 -0.0378724
2.68812 -1.48209 -0.0482216
2.67045 -1.47234 -0.0585521
2.67025 -1.47223 -0.0691967
2.59999 -1.4335 -0.0777456
2.626 -1.44783 -0.0889985
2.51193 -1.38494 -0.0951556
2.9108 -1.59296 0.110075
2.91112 -1.59313 0.0984918
2.84125 -1.5549 0.0848135
2.88534 -1.57903 0.0746414
2.85047 -1.55994 0.0623917
2.75416 -1.50724 0.0493212
2.82447 -1.54571 0.0393385
2.82457 -1.54577 0.0280995
2.75446 -1.5074 0.0164409
2.77204 -1.51702 0.00551514
2.67555 -1.46421 -0.00532306
2.74569 -1.5026 -0.0163888
2.69299 -1.47376 -0.0267904
2.69289 -1.47371 -0.0375059
2.60505 -1.42563 -0.0466509
2.65752 -1.45435 -0.0581681
2.65732 -1.45424 -0.0687429
2.61325 -1.43012 -0.0780073
2.65684 -1.45397 -0.0898885
2.55134 -1.39624 -0.0964818
2.9512 -1.60237 0.111401
2.89004 -1.56916 0.0976018
2.89032 -1.56931 0.0861223
2.86421 -1.55514 0.0739608
2.8117 -1.52663 0.0614318
2.80308 -1.52195 0.0501066
2.82079 -1.53157 0.0392164
2.8209 -1.53162 0.0280123
2.78581 -1.51257 0.016598
2.73312 -1.48396 0.00542788
2.75069 -1.4935 -0.00546269
2.7243 -1.47917 -0.0162318
2.68029 -1.45528 -0.0266159
2.7417 -1.48862 -0.0381167
2.67127 -1.45038 -0.0477504
2.66232 -1.44552 -0.0581681
2.66213 -1.44542 -0.0687429
2.69704 -1.46438 -0.0803633
2.688 -1.45946 -0.0907785
2.5823 -1.40208 -0.0974764
2.9565 -1.59258 0.111401
2.89522 -1.55957 0.0976018
2.89551 -1.55972 0.0861223
2.86935 -1.54563 0.0739608
2.81674 -1.51729 0.0614318
2.80811 -1.51265 0.0501066
2.82586 -1.5222 0.0392164
2.82596 -1.52226 0.0280123
2.79081 -1.50333 0.016598
2.73802 -1.47489 0.00542788
2.75563 -1.48437 -0.00546269
2.72919 -1.47013 -0.0162318
2.6851 -1.44638 -0.0266159
2.74663 -1.47952 -0.0381167
2.67607 -1.44152 -0.0477504
2.6671 -1.43669 -0.0581681
2.66691 -1.43658 -0.0687429
2.70189 -1.45542 -0.0803633
2.69282 -1.45054 -0.0907785
2.58694 -1.3935 -0.0974764
2.84717 -1.52153 0.107091
2.87393 -1.53583 0.0967118
2.87421 -1.53598 0.085337
2.88327 -1.54082 0.0741876
2.88349 -1.54093 0.0627756
2.83957 -1.51746 0.0505778
2.82207 -1.50811 0.0390942
2.82217 -1.50817 0.027925
2.78696 -1.48935 0.0165456
2.72526 -1.45638 0.00539297
2.72526 -1.45638 -0.00539287
2.70759 -1.44693 -0.0160747
2.73398 -1.46104 -0.0270522
2.72506 -1.45627 -0.0377502
2.7602 -1.47505 -0.0491641
2.71594 -1.4514 -0.059128
2.71574 -1.45129 -0.0698773
2.67143 -1.42761 -0.0793162
2.60064 -1.38978 -0.0875152
