x y z
3.81707 -2.20379 0.146214
3.85212 -2.22402 0.132015
3.80921 -2.19925 0.115179
3.78356 -2.18444 0.0991437
3.72322 -2.1496 0.082549
3.73211 -2.15473 0.0676989
3.61972 -2.08984 0.0510668
3.65449 -2.10992 0.0368261
3.65458 -2.10997 0.0220958
3.56802 -2.06 0.00719063
3.39481 -1.96 -0.00684145
3.5853 -2.06997 -0.0216772
3.57655 -2.06492 -0.0360406
3.34261 -1.92986 -0.0471573
3.27317 -1.88977 -0.0593739
3.25566 -1.87965 -0.0721822
3.25542 -1.87952 -0.0853048
3.22051 -1.85936 -0.0973783
3.20288 -1.84919 -0.109765
3.11598 -1.79901 -0.119359
3.88506 -2.2259 0.148535
3.91151 -2.24105 0.133795
3.89454 -2.23133 0.117535
3.79078 -2.17188 0.0991437
3.75636 -2.15216 0.0831249
3.66983 -2.10258 0.0664423
3.66133 -2.09771 0.0515555
3.67014 -2.10276 0.0369134
3.67023 -2.10281 0.0221481
3.51409 -2.01335 0.00706846
3.47939 -1.99347 -0.00699852
3.46199 -1.9835 -0.0208918
3.4272 -1.96357 -0.0344698
3.30561 -1.89391 -0.0465464
3.30545 -1.89381 -0.0598451
3.24452 -1.85891 -0.0717983
3.24428 -1.85877 -0.084851
3.26135 -1.86855 -0.0984254
3.20033 -1.83359 -0.109468
3.14794 -1.80357 -0.120354
3.8316 -2.17842 0.146214
3.79727 -2.1589 0.129641
3.77157 -2.14429 0.113608
3.78058 -2.14941 0.09869
3.6331 -2.06556 0.0802453
3.61594 -2.05581 0.0653428
3.64219 -2.07073 0.051189
3.56409 -2.02633 0.0357789
3.56417 -2.02638 0.0214674
3.47728 -1.97698 0.00698119
3.44251 -1.95721 -0.00691126
3.48594 -1.9819 -0.0209966
3.425 -1.94725 -0.0343825
3.31187 -1.88293 -0.0465464
3.3204 -1.88778 -0.0600021
3.25936 -1.85308 -0.0719903
3.25912 -1.85294 -0.0850779
3.26753 -1.85773 -0.0984254
3.22377 -1.83284 -0.110061
3.17128 -1.803 -0.121017
3.83843 -2.16638 0.146214
3.80403 -2.14696 0.129641
3.77828 -2.13243 0.113608
3.78731 -2.13753 0.09869
3.63957 -2.05414 0.0802453
3.62238 -2.04444 0.0653428
3.64868 -2.05928 0.051189
3.57043 -2.01512 0.0357789
3.57052 -2.01517 0.0214674
3.48348 -1.96604 0.00698119
3.44864 -1.94638 -0.00691126
3.49214 -1.97094 -0.0209966
3.4311 -1.93648 -0.0343825
3.31777 -1.87252 -0.0465464
3.32632 -1.87734 -0.0600021
3.26516 -1.84283 -0.0719903
3.26493 -1.8427 -0.0850779
3.27335 -1.84745 -0.0984254
3.22951 -1.82271 -0.110061
3.17693 -1.79303 -0.121017
3.93279 -2.20247 0.14953
3.83729 -2.14899 0.130531
3.75045 -2.10035 0.112561
3.71588 -2.08099 0.0966481
3.61147 -2.02252 0.0794774
3.61169 -2.02264 0.0650286
3.54207 -1.98365 0.0496008
3.52475 -1.97395 0.0352553
3.52484 -1.974 0.0211533
3.50743 -1.96425 0.0070161
3.45508 -1.93494 -0.00691126
3.42014 -1.91537 -0.0205253
3.4026 -1.90555 -0.0340335
3.29779 -1.84685 -0.0461799
3.30635 -1.85165 -0.0595309
3.27998 -1.83688 -0.0721822
3.27974 -1.83674 -0.0853048
3.30563 -1.85124 -0.0992107
3.20937 -1.79733 -0.109171
3.17414 -1.7776 -0.120685
3.80029 -2.11174 0.144225
3.76576 -2.09255 0.127861
3.74865 -2.08305 0.112299
3.63537 -2.0201 0.0943794
3.67059 -2.03967 0.0806292
3.59216 -1.99608 0.0645574
3.46996 -1.92819 0.0485012
3.47009 -1.92826 0.0346445
3.4964 -1.94287 0.0209438
3.54889 -1.97204 0.00708591
3.40903 -1.89433 -0.00680654
3.48766 -1.93802 -0.0208918
3.40891 -1.89426 -0.0340335
3.40004 -1.88933 -0.0475238
3.31247 -1.84067 -0.0595309
3.31227 -1.84056 -0.0727581
3.31203 -1.84042 -0.0859854
3.19815 -1.77715 -0.0958077
3.22405 -1.79154 -0.109468
3.21496 -1.78649 -0.122011
3.80728 -2.09913 0.144225
3.77268 -2.08006 0.127861
3.75554 -2.0706 0.112299
3.64205 -2.00803 0.0943794
3.67734 -2.02749 0.0806292
3.59875 -1.98416 0.0645574
3.47634 -1.91667 0.0485012
3.47647 -1.91674 0.0346445
3.50282 -1.93127 0.0209438
3.55541 -1.96026 0.00708591
3.41529 -1.88301 -0.00680654
3.49406 -1.92644 -0.0208918
3.41517 -1.88294 -0.0340335
3.40629 -1.87804 -0.0475238
3.31856 -1.82968 -0.0595309
3.31836 -1.82957 -0.0727581
3.31811 -1.82943 -0.0859854
3.20403 -1.76653 -0.0958077
3.22998 -1.78084 -0.109468
3.22087 -1.77582 -0.122011
3.70864 -2.02958 0.140246
3.76166 -2.0586 0.127268
3.62172 -1.98201 0.108111
3.6308 -1.98698 0.0939256
3.66615 -2.00632 0.0802453
3.57866 -1.95845 0.0640862
3.53497 -1.93454 0.0492343
3.5351 -1.93461 0.035168
3.48256 -1.90585 0.0207868
3.50891 -1.92028 0.00698119
3.40365 -1.86267 -0.00677164
3.40361 -1.86265 -0.0203159
3.40352 -1.8626 -0.0338589
3.342 -1.82893 -0.0465464
3.29798 -1.80484 -0.0590597
3.25392 -1.78073 -0.0712224
3.25369 -1.7806 -0.0841704
3.24464 -1.77565 -0.0968548
3.19171 -1.74669 -0.107985
3.20013 -1.75129 -0.121017
3.76805 -2.04589 0.142236
3.70698 -2.01272 0.125191
