x y z
4.38833 -2.53361 0.168097
4.44075 -2.56387 0.152188
4.31999 -2.49414 0.130623
4.30304 -2.48436 0.112756
4.1475 -2.39456 0.0919557
4.23434 -2.4447 0.0768092
3.9661 -2.28983 0.0559536
4.0615 -2.34491 0.0409276
4.0616 -2.34497 0.0245567
3.91443 -2.26 0.00788875
3.84515 -2.22 -0.00774898
3.94036 -2.27497 -0.023824
3.83635 -2.21492 -0.0386585
3.79291 -2.18984 -0.05351
3.79272 -2.18973 -0.0687983
3.74054 -2.1596 -0.0829328
3.74027 -2.15944 -0.0980097
3.48889 -2.01431 -0.105493
3.5578 -2.0541 -0.121928
3.59203 -2.07386 -0.137594
4.53546 -2.59854 0.173401
4.45791 -2.5541 0.152484
4.24149 -2.43011 0.128006
4.25053 -2.43529 0.111168
4.15542 -2.38079 0.0919557
4.14699 -2.37597 0.0750814
4.05176 -2.3214 0.0570531
4.06058 -2.32646 0.0408403
4.06068 -2.32651 0.0245043
3.98264 -2.2818 0.00801092
3.7744 -2.16249 -0.00759191
3.80906 -2.18235 -0.0229863
3.84367 -2.20218 -0.0386585
3.58325 -2.05297 -0.0504558
3.60042 -2.06282 -0.0651856
3.5655 -2.04281 -0.0789013
3.56524 -2.04266 -0.0932454
3.58229 -2.05242 -0.108111
3.46919 -1.98763 -0.118665
3.39943 -1.94766 -0.129969
4.31816 -2.45505 0.164781
4.21436 -2.39603 0.143881
4.23215 -2.40615 0.127482
4.15429 -2.36188 0.108446
4.20675 -2.39171 0.0929156
4.06793 -2.31278 0.0735106
4.08551 -2.32278 0.0574196
3.99873 -2.27344 0.0401422
3.99883 -2.2735 0.0240854
3.87717 -2.20433 0.00778403
3.77285 -2.14502 -0.00757446
3.76411 -2.14005 -0.0226721
3.76402 -2.14 -0.0377859
3.55526 -2.02131 -0.0499671
3.58986 -2.04098 -0.0648714
3.52011 -2.00132 -0.0777495
3.51985 -2.00118 -0.0918841
3.53693 -2.01089 -0.10654
3.47576 -1.97611 -0.118665
3.458 -1.96601 -0.131958
4.32585 -2.44147 0.164781
4.22186 -2.38278 0.143881
4.23969 -2.39284 0.127482
4.16169 -2.34882 0.108446
4.21424 -2.37848 0.0929156
4.07517 -2.29999 0.0735106
4.09279 -2.30993 0.0574196
4.00585 -2.26087 0.0401422
4.00595 -2.26092 0.0240854
3.88408 -2.19214 0.00778403
3.77957 -2.13316 -0.00757446
3.77082 -2.12822 -0.0226721
3.77073 -2.12817 -0.0377859
3.5616 -2.01013 -0.0499671
3.59625 -2.02969 -0.0648714
3.52638 -1.99026 -0.0777495
3.52612 -1.99011 -0.0918841
3.54323 -1.99977 -0.10654
3.48195 -1.96518 -0.118665
3.46416 -1.95514 -0.131958
4.42112 -2.47595 0.168097
